open,high,low,close,date,volume
175.9,182.55,171.0,172.9,2022-09-29,38974
171.65,173.9,169.2,171.95,2022-09-30,6951
171.5,174.0,168.15,169.35,2022-10-03,4508
173.95,173.95,169.35,172.7,2022-10-04,4698
187.9,207.2,182.1,206.95,2022-10-06,615496
210.9,213.0,196.0,207.15,2022-10-07,404303
207.85,211.9,200.6,205.6,2022-10-10,113138
205.6,217.0,205.6,207.15,2022-10-11,270726
210.0,213.95,197.05,199.4,2022-10-12,103631
199.0,202.35,187.15,192.15,2022-10-13,85165
196.0,199.9,191.45,193.6,2022-10-14,63725
193.6,195.0,188.35,190.35,2022-10-17,37638
194.0,195.0,176.1,180.4,2022-10-18,132233
36.35,41.0,34.5,40.1,2022-10-19,1338148
39.5,40.95,37.8,38.4,2022-10-20,431035
37.7,37.8,35.85,36.15,2022-10-21,380700
36.05,36.75,35.2,35.45,2022-10-24,263548
35.45,35.45,33.5,33.95,2022-10-25,333168
34.4,34.4,32.3,32.55,2022-10-27,270757
31.65,33.0,31.2,31.45,2022-10-28,255812
32.9,36.5,32.45,35.3,2022-10-31,1001093
35.75,35.75,33.0,33.25,2022-11-01,219772
33.25,35.05,33.25,33.85,2022-11-02,204993
34.1,36.65,33.7,35.7,2022-11-03,589404
36.2,36.2,34.8,35.1,2022-11-04,262502
35.1,35.75,33.6,34.2,2022-11-07,264813
34.9,34.9,33.3,33.65,2022-11-09,278933
34.9,34.9,32.5,32.75,2022-11-10,196177
33.5,33.8,32.55,32.9,2022-11-11,155743
32.9,33.6,32.0,32.3,2022-11-14,296124
32.95,32.95,32.0,32.1,2022-11-15,256222
32.9,32.9,32.0,32.45,2022-11-16,233478
32.9,33.4,32.0,32.35,2022-11-17,162167
32.35,32.75,31.05,31.75,2022-11-18,172134
31.25,32.55,31.15,32.2,2022-11-21,150278
32.35,33.0,32.05,32.15,2022-11-22,126871
32.9,32.9,32.0,32.3,2022-11-23,97906
32.3,32.75,31.55,31.8,2022-11-24,100879
32.45,32.8,31.85,32.3,2022-11-25,128762
32.05,32.4,31.35,31.55,2022-11-28,140077
