open,high,low,close,date,volume
983.7,987.25,959.3,962.85,2022-09-29,120097
967.7,980.0,953.95,959.15,2022-09-30,24474
960.25,992.0,959.15,986.65,2022-10-03,49098
994.8,998.35,984.85,989.65,2022-10-04,58021
1008.0,1008.0,984.3,992.4,2022-10-06,41983
997.0,999.0,982.0,996.75,2022-10-07,26989
996.75,1008.0,982.0,984.25,2022-10-10,28989
984.9,994.1,976.0,981.85,2022-10-11,35613
975.0,985.0,963.55,980.85,2022-10-12,20023
980.85,1008.0,963.6,969.35,2022-10-13,52301
988.5,1003.95,975.0,983.55,2022-10-14,50046
980.0,987.7,970.0,979.45,2022-10-17,24112
984.35,986.0,975.4,979.6,2022-10-18,20142
979.6,996.6,970.0,973.55,2022-10-19,25816
976.0,1002.0,962.55,995.95,2022-10-20,160561
991.1,996.05,973.0,976.3,2022-10-21,28548
988.0,988.0,973.0,980.1,2022-10-24,11668
980.1,981.7,948.0,952.0,2022-10-25,43083
951.4,959.7,927.0,936.15,2022-10-27,34021
931.25,942.3,908.95,916.75,2022-10-28,36549
916.0,945.0,916.0,931.3,2022-10-31,46869
936.0,951.0,920.0,944.05,2022-11-01,36485
944.05,948.2,931.0,936.2,2022-11-02,35378
940.0,940.0,907.3,910.5,2022-11-03,70898
910.95,933.0,890.05,901.9,2022-11-04,262799
906.45,913.15,897.75,901.5,2022-11-07,103640
914.0,914.0,892.15,899.7,2022-11-09,46710
899.0,899.0,872.0,880.0,2022-11-10,77049
884.4,949.0,883.05,891.95,2022-11-11,56402
892.6,909.7,878.2,881.6,2022-11-14,39753
880.0,885.35,878.0,879.7,2022-11-15,22172
885.0,887.9,873.0,875.2,2022-11-16,30306
879.6,882.25,870.0,873.2,2022-11-17,29215
877.6,877.6,865.0,868.1,2022-11-18,34632
868.1,872.35,850.4,855.2,2022-11-21,29701
859.5,859.5,846.7,855.0,2022-11-22,16914
859.2,898.45,855.1,886.7,2022-11-23,179606
890.5,898.0,883.05,885.1,2022-11-24,67786
878.0,895.25,875.05,888.85,2022-11-25,43532
881.0,900.4,881.0,894.55,2022-11-28,48508
894.55,898.65,880.0,882.35,2022-11-29,24065
880.0,894.9,880.0,884.25,2022-11-30,27243
895.0,895.0,882.0,883.3,2022-12-01,19797
881.2,886.0,875.0,879.05,2022-12-02,21556
879.05,885.45,873.1,874.8,2022-12-05,26767
879.0,888.0,874.8,884.05,2022-12-06,56580
888.5,889.9,860.25,870.1,2022-12-07,29590
880.0,880.0,851.0,857.45,2022-12-08,32576
862.0,865.0,851.0,853.85,2022-12-09,30578
858.0,858.0,835.0,839.65,2022-12-12,38032
843.85,844.1,824.2,828.7,2022-12-13,60728
832.85,878.4,830.05,850.8,2022-12-14,61664
855.0,863.4,840.0,845.25,2022-12-15,28311
847.6,848.65,835.0,843.2,2022-12-16,17346
849.0,849.0,828.0,829.95,2022-12-19,24287
830.0,834.9,821.9,824.65,2022-12-20,27281
826.0,832.95,804.0,807.65,2022-12-21,52174
811.7,815.0,796.0,799.9,2022-12-22,52786
799.0,799.95,774.05,778.55,2022-12-23,54598
772.0,799.0,754.6,767.0,2022-12-26,79183
779.0,854.7,779.0,817.3,2022-12-27,1403616
815.0,832.75,803.25,805.2,2022-12-28,144943
805.2,813.15,796.9,799.4,2022-12-29,44211
803.6,808.0,792.1,802.05,2022-12-30,28888
801.0,806.25,791.95,798.75,2023-01-02,317075
799.5,806.0,796.15,802.15,2023-01-03,26064
806.4,806.4,792.35,794.9,2023-01-04,21906
809.0,809.0,789.35,792.55,2023-01-05,64463
796.5,813.0,790.55,800.05,2023-01-06,50232
811.9,812.0,782.0,794.65,2023-01-09,46131
795.1,798.35,787.4,789.45,2023-01-10,16836
793.6,797.1,792.0,793.75,2023-01-11,56943
797.0,808.2,789.9,794.05,2023-01-12,48829
795.0,798.7,788.0,790.65,2023-01-13,28886
800.0,801.0,784.9,788.4,2023-01-16,36565
795.0,795.0,785.45,787.8,2023-01-17,297119
788.1,797.0,781.0,783.15,2023-01-18,36141
785.0,788.95,772.55,776.5,2023-01-19,69411
781.0,796.0,777.6,795.0,2023-01-20,38376
795.0,798.3,780.1,784.65,2023-01-23,278524
788.0,793.1,782.75,787.75,2023-01-24,19702
788.6,790.0,777.0,780.9,2023-01-25,25438
784.45,823.85,694.0,802.8,2023-01-27,1439137
809.9,809.9,785.0,787.2,2023-01-30,39893
789.0,818.7,765.0,783.7,2023-01-31,255551
771.0,787.45,752.0,755.65,2023-02-01,1086367
755.65,777.55,749.65,757.6,2023-02-02,38789
761.6,770.85,744.0,750.0,2023-02-03,44622
751.3,755.0,727.65,730.65,2023-02-06,101080
730.65,764.5,730.65,754.8,2023-02-07,56480
758.75,770.0,746.05,764.5,2023-02-08,21860
770.0,779.6,760.0,777.15,2023-02-09,36007
780.0,780.0,770.6,776.95,2023-02-10,18769
778.0,779.05,766.8,769.55,2023-02-13,14989
773.6,773.6,760.0,762.75,2023-02-14,17109
766.6,774.35,761.05,769.75,2023-02-15,10862
766.75,771.45,761.0,766.5,2023-02-16,18776
766.5,777.65,763.8,771.5,2023-02-17,16294
771.0,773.95,750.75,755.75,2023-02-20,29881
755.75,759.55,743.4,745.4,2023-02-21,42813
740.0,749.2,737.0,742.7,2023-02-22,21323
746.4,758.0,735.1,755.85,2023-02-23,21627
759.5,788.95,753.0,775.45,2023-02-24,95752
775.45,775.45,759.0,765.8,2023-02-27,15386
769.65,769.65,752.0,756.8,2023-02-28,15033
760.8,775.9,752.05,769.65,2023-03-01,24369
773.5,789.0,757.15,772.75,2023-03-02,39049
773.25,786.0,761.9,782.05,2023-03-03,40970
786.0,786.0,752.0,755.45,2023-03-06,81409
755.45,762.15,740.05,760.45,2023-03-08,48390
760.45,768.15,751.0,755.7,2023-03-09,36245
755.7,765.0,750.05,759.45,2023-03-10,25544
755.0,761.45,737.0,742.55,2023-03-13,42974
746.0,746.0,721.95,728.4,2023-03-14,40787
734.0,739.85,713.0,719.85,2023-03-15,180693
720.0,722.85,697.0,699.85,2023-03-16,67573
703.35,714.05,696.4,710.4,2023-03-17,68327
696.0,713.45,684.0,690.5,2023-03-20,62238
692.0,703.15,666.0,696.55,2023-03-21,177577
699.0,719.35,689.75,697.6,2023-03-22,114012
699.0,718.0,688.55,692.9,2023-03-23,80717
695.0,697.55,678.1,683.7,2023-03-24,109022
688.85,693.0,672.2,676.05,2023-03-27,113859
676.0,676.05,652.35,656.0,2023-03-28,123829
663.0,680.2,656.8,670.95,2023-03-29,120123
675.0,704.95,675.0,699.15,2023-03-31,148136
704.0,719.7,699.15,713.8,2023-04-03,131409
724.15,732.0,714.05,730.55,2023-04-05,50087
739.0,739.9,722.65,729.1,2023-04-06,52092
736.0,739.1,709.9,714.55,2023-04-10,63005
718.3,724.0,712.0,718.0,2023-04-11,44882
718.8,725.5,704.7,711.55,2023-04-12,43516
713.5,718.0,706.95,712.75,2023-04-13,43214
717.9,717.9,708.1,715.15,2023-04-17,23794
718.9,719.0,708.6,710.6,2023-04-18,23975
714.3,719.0,711.0,717.85,2023-04-19,23253
723.85,729.0,718.05,721.95,2023-04-20,33947
721.85,728.85,719.95,726.5,2023-04-21,22148
726.5,734.0,722.75,730.0,2023-04-24,18445
730.95,734.95,720.9,723.75,2023-04-25,36757
723.75,732.0,718.2,724.9,2023-04-26,68420
729.4,732.9,721.0,726.55,2023-04-27,38532
729.95,734.05,721.55,731.6,2023-04-28,24277
736.05,744.25,718.9,721.35,2023-05-02,67545
721.35,727.85,717.0,720.1,2023-05-03,41355
720.1,734.2,697.6,702.05,2023-05-04,150051
705.5,706.95,689.05,695.3,2023-05-05,107412
702.25,714.9,695.0,709.95,2023-05-08,56947
713.5,713.5,700.0,704.2,2023-05-09,303868
707.95,714.0,704.25,713.35,2023-05-10,32006
716.0,724.0,712.25,720.05,2023-05-11,34932
723.0,723.0,713.15,714.95,2023-05-12,38461
715.0,726.0,714.95,720.25,2023-05-15,28036
724.0,724.0,718.0,723.2,2023-05-16,21848
732.0,732.0,709.05,715.15,2023-05-17,42064
718.75,730.0,714.6,719.65,2023-05-18,37928
723.4,725.45,714.05,716.15,2023-05-19,18478
719.75,720.4,712.3,716.25,2023-05-22,26068
719.85,728.5,716.1,718.65,2023-05-23,72305
726.5,726.7,716.05,724.55,2023-05-24,90478
724.6,733.5,690.0,699.65,2023-05-25,540369
690.0,698.0,682.85,687.75,2023-05-26,382820
698.0,699.0,686.65,697.2,2023-05-29,95280
695.0,702.25,691.0,692.35,2023-05-30,161017
690.3,694.45,683.0,687.2,2023-05-31,144978
690.0,690.65,674.8,676.1,2023-06-01,416596
679.7,680.55,672.0,673.8,2023-06-02,179490
679.8,680.0,673.85,675.05,2023-06-05,219349
680.0,697.0,677.55,692.05,2023-06-06,174994
696.85,715.95,695.0,711.35,2023-06-07,128571
716.95,723.55,711.5,717.95,2023-06-08,86284
720.05,728.35,709.25,725.05,2023-06-09,98580
729.05,732.1,719.2,724.65,2023-06-12,143497
724.95,729.55,715.0,720.25,2023-06-13,74851
721.55,727.05,720.05,723.45,2023-06-14,33528
727.1,730.0,721.85,726.5,2023-06-15,50631
730.1,752.8,726.55,740.05,2023-06-16,123050
747.6,750.0,738.1,745.3,2023-06-19,56070
749.2,752.0,739.5,749.7,2023-06-20,75551
749.7,759.45,749.7,757.65,2023-06-21,66139
768.95,768.95,745.0,747.55,2023-06-22,65241
747.6,751.3,726.3,735.1,2023-06-23,167427
739.0,746.05,735.0,743.6,2023-06-26,50136
750.0,750.8,737.45,738.65,2023-06-27,41580
742.5,744.5,722.1,725.5,2023-06-28,81951
729.65,754.8,722.55,750.0,2023-06-30,140091
756.0,757.95,743.75,749.35,2023-07-03,61980
754.0,754.0,740.75,745.65,2023-07-04,31158
746.0,753.0,740.5,746.0,2023-07-05,50165
749.9,760.0,745.05,756.9,2023-07-06,67976
760.5,761.1,738.2,739.95,2023-07-07,156716
744.5,755.0,741.3,753.7,2023-07-10,50499
757.7,763.15,748.05,761.25,2023-07-11,64250
763.0,764.05,748.15,752.6,2023-07-12,88774
