open,high,low,close,date,volume
379.8,389.7,375.75,384.7,2022-09-29,100039
386.6,390.0,377.05,388.55,2022-09-30,79137
390.0,398.7,380.5,382.75,2022-10-03,129361
393.9,393.9,382.2,383.55,2022-10-04,74337
389.95,397.4,385.05,390.25,2022-10-06,139474
390.9,394.45,386.4,390.8,2022-10-07,86897
386.0,388.0,363.0,366.05,2022-10-10,170334
364.0,371.65,347.2,351.35,2022-10-11,175832
354.85,366.95,349.05,363.5,2022-10-12,74883
363.55,367.45,358.0,361.05,2022-10-13,49010
364.25,374.9,364.25,371.65,2022-10-14,95593
371.5,389.0,367.1,385.75,2022-10-17,112033
387.7,390.05,381.0,383.75,2022-10-18,88657
389.85,395.0,382.75,387.2,2022-10-19,120941
384.35,391.0,381.95,386.65,2022-10-20,40383
387.85,392.55,380.1,380.8,2022-10-21,129144
386.5,396.5,386.45,390.05,2022-10-24,63440
397.0,408.0,390.0,403.7,2022-10-25,236835
405.0,409.65,386.4,394.5,2022-10-27,251719
393.1,394.65,381.6,388.05,2022-10-28,86030
393.95,418.3,393.45,411.05,2022-10-31,684799
413.7,438.4,413.3,432.7,2022-11-01,612702
438.45,446.5,426.95,429.95,2022-11-02,465177
430.0,466.95,428.0,461.2,2022-11-03,962742
464.0,465.3,445.05,449.4,2022-11-04,276027
451.65,451.65,427.6,429.75,2022-11-07,215350
436.9,436.9,409.5,420.15,2022-11-09,283561
422.3,423.25,388.15,391.6,2022-11-10,225281
397.45,427.55,389.0,397.8,2022-11-11,912701
390.05,395.6,386.0,388.75,2022-11-14,177671
388.75,413.0,383.5,410.0,2022-11-15,284131
410.0,428.4,410.0,425.15,2022-11-16,437708
421.1,444.4,421.1,438.7,2022-11-17,460752
445.0,448.0,437.0,444.55,2022-11-18,243927
443.1,443.15,428.15,432.0,2022-11-21,126633
426.1,438.9,414.05,425.35,2022-11-22,559605
430.0,431.9,415.3,419.9,2022-11-23,164798
420.0,440.0,420.0,425.0,2022-11-24,135596
425.0,429.0,420.5,426.9,2022-11-25,87886
421.1,429.75,418.1,420.15,2022-11-28,102660
420.65,421.7,409.0,413.15,2022-11-29,84884
412.0,415.0,402.05,407.45,2022-11-30,100238
407.45,407.45,395.05,399.95,2022-12-01,129803
403.45,403.45,367.1,368.7,2022-12-02,582230
357.0,357.0,325.0,334.65,2022-12-05,1126453
335.0,343.25,332.1,340.2,2022-12-06,320252
338.5,344.3,332.0,337.05,2022-12-07,202384
337.0,338.9,330.75,332.35,2022-12-08,97484
334.05,334.85,304.45,309.15,2022-12-09,456251
310.0,310.85,301.8,308.7,2022-12-12,189314
309.9,334.0,309.9,331.55,2022-12-13,522893
332.0,339.5,325.9,337.2,2022-12-14,214103
339.8,341.0,321.1,325.2,2022-12-15,85566
325.1,329.5,319.0,323.85,2022-12-16,88990
322.0,325.5,315.0,316.55,2022-12-19,54957
318.1,320.0,311.25,312.4,2022-12-20,49670
313.85,314.9,298.7,305.35,2022-12-21,179707
306.9,319.0,290.45,293.4,2022-12-22,147772
293.9,298.75,264.8,268.1,2022-12-23,193912
269.0,289.5,269.0,286.25,2022-12-26,112223
287.7,304.55,287.65,291.5,2022-12-27,139438
293.0,317.5,289.55,315.25,2022-12-28,205808
310.1,329.0,310.0,323.3,2022-12-29,248265
322.15,326.8,312.85,315.6,2022-12-30,87073
315.9,322.0,289.1,308.45,2023-01-02,106032
308.45,316.95,304.9,308.55,2023-01-03,55861
310.05,310.55,295.85,298.55,2023-01-04,73746
299.0,305.15,294.5,299.45,2023-01-05,53750
300.95,310.9,298.0,299.1,2023-01-06,79038
300.6,303.8,297.65,301.85,2023-01-09,32989
303.4,307.0,300.0,301.9,2023-01-10,37857
301.9,303.95,300.25,302.25,2023-01-11,17563
302.55,308.9,298.5,300.95,2023-01-12,24550
301.45,313.45,300.55,307.6,2023-01-13,75561
309.15,309.15,300.0,301.2,2023-01-16,45095
300.95,302.2,296.7,298.75,2023-01-17,32999
297.2,301.35,297.2,298.85,2023-01-18,29285
295.0,299.0,290.95,292.35,2023-01-19,29887
293.85,293.85,281.9,284.85,2023-01-20,85330
286.3,288.7,282.0,283.1,2023-01-23,36197
283.1,286.2,271.45,273.4,2023-01-24,61852
271.0,274.8,264.8,270.6,2023-01-25,52167
271.35,304.0,271.3,297.45,2023-01-27,463904
305.0,330.0,302.0,326.8,2023-01-30,888422
327.0,357.95,318.05,351.9,2023-01-31,517546
346.05,352.0,326.0,338.65,2023-02-01,209345
334.1,341.7,320.0,323.3,2023-02-02,66211
323.3,330.0,312.0,313.75,2023-02-03,95495
315.3,320.7,297.3,311.75,2023-02-06,304747
305.05,315.0,305.05,307.95,2023-02-07,90498
306.65,330.0,304.35,324.2,2023-02-08,102572
323.0,332.4,322.95,327.2,2023-02-09,76305
326.95,332.0,323.2,326.3,2023-02-10,50512
326.3,330.25,316.55,320.05,2023-02-13,85286
321.7,323.15,312.8,313.75,2023-02-14,38872
311.0,322.7,310.95,319.9,2023-02-15,87317
320.05,330.0,318.1,325.75,2023-02-16,41680
324.3,338.4,324.0,328.7,2023-02-17,239455
328.7,331.7,324.45,325.9,2023-02-20,28045
327.55,330.15,322.8,324.7,2023-02-21,33937
323.8,326.5,310.0,312.2,2023-02-22,45270
313.35,316.5,307.05,312.6,2023-02-23,29154
312.7,318.2,306.35,308.65,2023-02-24,60522
305.55,311.8,292.05,295.45,2023-02-27,46466
296.95,300.0,292.5,295.7,2023-02-28,38478
296.8,306.9,293.5,303.85,2023-03-01,65677
304.75,305.6,293.0,295.75,2023-03-02,24386
297.25,305.0,295.9,298.95,2023-03-03,25775
296.0,306.7,296.0,303.1,2023-03-06,55004
303.1,304.9,296.9,299.95,2023-03-08,172367
301.45,312.7,298.0,299.55,2023-03-09,193603
299.9,302.0,296.9,300.35,2023-03-10,31053
300.2,302.75,286.35,290.7,2023-03-13,75534
292.15,292.55,280.85,282.7,2023-03-14,64092
283.4,286.95,274.5,275.95,2023-03-15,182901
274.65,301.35,274.55,292.85,2023-03-16,274842
293.0,304.7,276.6,282.4,2023-03-17,193788
283.0,287.2,278.85,281.1,2023-03-20,67018
278.85,284.25,278.85,281.25,2023-03-21,33863
282.4,286.05,278.25,279.5,2023-03-22,36213
279.4,298.75,276.6,291.0,2023-03-23,146730
294.75,295.55,281.65,283.05,2023-03-24,79128
283.05,291.9,273.5,276.55,2023-03-27,96300
277.95,281.2,271.65,273.9,2023-03-28,94877
275.3,289.4,274.05,287.05,2023-03-29,172169
288.5,297.45,287.4,289.7,2023-03-31,79555
291.15,293.75,287.0,287.55,2023-04-03,29341
289.0,345.05,289.0,331.65,2023-04-05,1164488
328.45,349.4,328.35,340.45,2023-04-06,545665
338.0,373.95,338.0,365.8,2023-04-10,1448758
368.0,379.85,357.0,359.25,2023-04-11,1003800
360.35,378.0,360.35,369.1,2023-04-12,692960
369.2,377.0,365.0,369.5,2023-04-13,483208
