open,high,low,close,date,volume
23.5,24.6,23.1,23.25,2022-09-26,2461
23.25,24.25,22.35,24.0,2022-09-27,2836
25.0,25.0,23.0,23.35,2022-09-28,3834
24.45,24.45,22.55,23.1,2022-09-29,3172
23.6,24.25,22.55,23.4,2022-09-30,3169
23.9,23.9,22.3,22.65,2022-10-03,4140
23.35,23.4,23.0,23.3,2022-10-04,1083
23.8,24.45,22.65,24.4,2022-10-06,7336
25.55,25.55,23.2,23.35,2022-10-07,26196
23.4,24.0,23.0,23.45,2022-10-10,6869
23.8,25.75,22.9,24.95,2022-10-11,27901
25.5,26.95,23.4,23.75,2022-10-12,13225
24.75,24.75,23.5,23.55,2022-10-13,2169
22.3,24.9,22.3,23.35,2022-10-14,16845
22.65,24.45,22.25,23.1,2022-10-17,1908
23.2,24.7,22.5,22.8,2022-10-18,4638
23.85,23.85,22.8,23.7,2022-10-19,723
23.8,26.05,23.7,24.95,2022-10-20,24762
27.0,27.0,22.65,25.25,2022-10-21,27974
25.25,27.5,25.25,26.2,2022-10-24,11104
26.5,26.95,24.2,24.55,2022-10-25,6305
23.65,26.4,23.65,25.8,2022-10-27,6958
27.5,27.5,24.65,25.5,2022-10-28,13840
24.5,25.45,24.35,24.5,2022-10-31,5724
24.95,26.5,23.65,24.7,2022-11-01,25310
24.75,25.5,24.7,25.3,2022-11-02,4192
25.65,25.65,23.6,24.15,2022-11-03,6388
24.15,24.95,24.0,24.95,2022-11-04,6776
25.5,25.5,24.15,24.95,2022-11-07,13199
24.9,24.9,24.3,24.35,2022-11-09,7783
24.35,24.45,23.85,24.1,2022-11-10,3830
24.6,24.6,23.65,24.5,2022-11-11,1280
24.5,24.5,23.5,23.55,2022-11-14,3672
23.55,24.2,22.95,24.0,2022-11-15,8270
24.4,24.4,23.05,23.1,2022-11-16,2420
23.8,23.8,22.7,22.85,2022-11-17,5118
22.85,23.8,22.8,23.25,2022-11-18,3805
23.25,23.3,22.5,23.15,2022-11-21,4594
24.0,24.0,22.35,23.8,2022-11-22,3067
25.5,25.5,22.5,22.7,2022-11-23,4829
22.55,23.25,22.35,22.45,2022-11-24,2290
22.45,23.15,22.45,22.8,2022-11-25,5608
23.45,23.95,21.2,23.85,2022-11-28,13392
23.4,24.15,23.0,23.95,2022-11-29,1621
23.9,23.95,22.7,23.05,2022-11-30,11398
23.8,23.8,22.9,23.0,2022-12-01,1828
22.4,23.95,22.1,22.65,2022-12-02,8086
23.6,23.95,22.45,23.35,2022-12-05,5296
23.8,23.8,21.75,22.35,2022-12-06,28982
23.1,23.1,22.2,22.8,2022-12-07,7749
23.4,27.35,23.3,25.5,2022-12-08,622041
25.5,26.4,23.25,23.8,2022-12-09,114427
23.8,25.5,22.5,23.25,2022-12-12,43366
25.0,25.0,23.25,23.9,2022-12-13,27298
24.4,24.4,22.85,23.0,2022-12-14,34844
23.5,23.8,22.8,23.55,2022-12-15,10892
24.25,24.4,23.0,23.6,2022-12-16,5821
24.25,24.9,23.2,23.85,2022-12-19,27632
24.2,24.7,23.3,23.5,2022-12-20,10055
24.35,24.35,19.3,21.2,2022-12-21,45665
21.5,21.8,20.4,20.5,2022-12-22,9679
21.35,23.05,20.0,20.6,2022-12-23,15702
23.7,23.7,20.3,21.7,2022-12-26,5436
22.2,22.2,20.55,21.15,2022-12-27,7184
21.6,21.6,20.05,21.05,2022-12-28,7978
21.05,21.4,19.7,20.4,2022-12-29,7923
20.9,21.35,20.35,21.3,2022-12-30,20090
21.7,22.8,21.45,22.4,2023-01-02,7471
22.95,23.85,18.55,22.25,2023-01-03,106006
22.8,23.8,21.8,22.65,2023-01-04,11992
23.8,23.85,22.1,22.95,2023-01-05,66480
23.4,23.4,21.45,22.3,2023-01-06,10142
22.8,22.85,21.8,22.05,2023-01-09,4871
21.3,22.7,21.3,22.3,2023-01-10,2378
22.15,22.95,22.0,22.05,2023-01-11,4741
23.1,26.45,22.05,26.45,2023-01-12,255097
31.0,31.7,27.7,29.55,2023-01-13,1535255
28.95,29.0,26.7,27.35,2023-01-16,134920
26.25,28.5,26.05,26.85,2023-01-17,131049
27.4,27.95,25.05,25.3,2023-01-18,79999
25.8,25.8,22.55,24.15,2023-01-19,175418
25.0,25.15,23.55,24.2,2023-01-20,92102
24.2,24.4,23.0,23.5,2023-01-23,23789
23.5,23.9,23.0,23.6,2023-01-24,9379
23.6,23.6,22.3,23.0,2023-01-25,22151
23.1,23.1,21.3,22.2,2023-01-27,20958
22.65,23.3,20.6,21.95,2023-01-30,23585
22.65,22.7,22.0,22.45,2023-01-31,6950
22.95,22.95,21.5,21.6,2023-02-01,23126
21.1,21.85,21.1,21.25,2023-02-02,6916
21.15,21.9,20.45,20.75,2023-02-03,15772
