open,high,low,close,date,volume
575.0,577.0,536.5,539.65,2022-12-12,7530518
541.05,579.2,541.05,565.4,2022-12-13,3608222
569.0,590.75,565.4,576.15,2022-12-14,3029973
575.05,588.8,565.0,566.85,2022-12-15,962639
565.9,578.7,560.2,570.25,2022-12-16,855040
573.7,588.7,565.0,584.8,2022-12-19,971533
588.7,593.75,574.25,576.45,2022-12-20,645687
579.75,583.2,541.0,563.8,2022-12-21,704740
570.0,570.4,538.15,563.25,2022-12-22,656588
552.2,556.0,530.05,540.95,2022-12-23,429679
541.95,558.0,535.5,541.85,2022-12-26,535661
546.4,556.35,537.2,552.7,2022-12-27,463933
548.75,566.0,544.35,563.95,2022-12-28,369658
562.55,566.45,553.2,565.45,2022-12-29,266439
568.25,579.5,561.3,575.5,2022-12-30,317372
579.7,585.0,567.0,570.5,2023-01-02,402419
570.4,581.1,569.0,573.8,2023-01-03,243060
576.4,578.05,562.6,571.15,2023-01-04,150654
569.85,574.7,542.0,547.35,2023-01-05,391285
549.65,555.65,541.6,547.85,2023-01-06,340090
550.9,556.75,550.9,552.45,2023-01-09,63254
554.0,554.05,544.0,546.75,2023-01-10,80863
546.75,558.3,546.1,553.8,2023-01-11,104562
555.65,557.4,551.05,554.4,2023-01-12,93565
555.0,563.55,552.8,560.05,2023-01-13,182806
564.6,564.6,559.25,561.55,2023-01-16,68778
563.45,563.45,551.25,553.85,2023-01-17,41801
554.95,558.45,549.1,553.55,2023-01-18,64030
550.2,552.95,545.0,546.0,2023-01-19,54056
549.9,556.4,546.5,552.05,2023-01-20,66823
550.1,555.55,543.0,544.65,2023-01-23,94640
546.0,551.0,544.0,546.8,2023-01-24,116021
547.05,552.0,541.05,545.65,2023-01-25,79257
546.95,551.0,538.65,543.95,2023-01-27,161597
541.1,555.0,540.95,551.55,2023-01-30,90849
550.15,562.2,548.1,554.55,2023-01-31,92033
559.0,563.0,547.3,559.95,2023-02-01,121816
559.95,567.0,554.0,559.15,2023-02-02,105307
561.75,562.0,548.1,550.45,2023-02-03,82408
549.9,552.9,545.05,547.65,2023-02-06,26772
549.65,551.75,543.0,546.65,2023-02-07,46651
549.85,567.0,544.0,563.3,2023-02-08,101903
563.0,577.0,560.0,561.8,2023-02-09,97853
562.95,564.9,555.0,557.45,2023-02-10,38273
561.75,561.75,545.1,548.6,2023-02-13,58561
549.3,556.6,547.0,549.75,2023-02-14,82002
585.0,588.9,564.0,572.4,2023-02-15,496329
575.0,578.95,549.1,556.75,2023-02-16,274646
557.5,577.1,556.5,573.55,2023-02-17,276986
575.0,581.45,566.05,569.3,2023-02-20,244222
574.45,580.0,567.1,577.95,2023-02-21,188051
574.95,612.3,573.5,598.1,2023-02-22,1595452
603.95,604.95,580.1,582.45,2023-02-23,546048
584.7,588.35,559.5,562.5,2023-02-24,196671
564.0,569.6,545.0,556.8,2023-02-27,204301
555.0,567.95,550.05,565.85,2023-02-28,189253
563.15,572.0,554.15,563.55,2023-03-01,149140
562.5,564.35,549.9,550.85,2023-03-02,60392
554.5,562.0,553.2,559.2,2023-03-03,59896
559.2,561.8,549.0,550.1,2023-03-06,77612
549.65,555.85,545.55,547.5,2023-03-08,50376
551.0,551.0,530.1,535.35,2023-03-09,277333
537.0,541.0,533.0,534.5,2023-03-10,79391
528.6,532.65,506.65,516.75,2023-03-13,346886
512.5,520.35,503.6,515.4,2023-03-14,129935
515.95,527.0,514.0,516.85,2023-03-15,215997
512.5,522.8,501.2,515.1,2023-03-16,309157
518.25,531.85,518.25,527.25,2023-03-17,91419
511.1,523.1,501.15,507.35,2023-03-20,106392
510.1,520.0,510.0,518.0,2023-03-21,97880
520.0,532.0,518.95,527.6,2023-03-22,78145
