open,high,low,close,date,volume
529.05,538.0,514.05,528.25,2022-09-29,450
528.75,540.0,522.0,534.7,2022-09-30,752
533.55,534.4,510.1,518.2,2022-10-03,738
530.25,531.9,519.25,524.65,2022-10-04,454
521.55,545.3,521.55,532.9,2022-10-06,1278
527.6,628.8,527.5,565.7,2022-10-07,4814
609.7,678.8,600.05,678.8,2022-10-10,89614
697.9,747.0,690.0,709.05,2022-10-11,92824
715.0,743.8,701.3,717.25,2022-10-12,42761
645.0,649.0,581.3,592.15,2022-10-13,64002
599.8,604.4,552.7,560.65,2022-10-14,18793
569.0,569.0,537.0,549.65,2022-10-17,8933
559.0,559.95,532.0,537.35,2022-10-18,6733
537.05,545.0,523.55,539.6,2022-10-19,7771
542.8,624.3,542.35,606.25,2022-10-20,67059
601.0,606.3,561.2,565.05,2022-10-21,9705
580.0,588.95,565.15,572.85,2022-10-24,958
582.0,582.0,554.5,557.2,2022-10-25,3072
559.0,575.0,535.0,541.2,2022-10-27,3839
541.2,556.4,532.55,545.3,2022-10-28,1832
545.25,546.0,535.0,536.7,2022-10-31,2216
546.0,630.0,532.1,570.6,2022-11-01,43057
581.9,585.95,556.0,563.2,2022-11-02,3739
568.9,572.0,552.2,562.15,2022-11-03,3594
565.0,578.25,565.0,570.2,2022-11-04,2451
578.8,578.8,560.0,570.05,2022-11-07,2928
570.0,570.0,546.2,552.15,2022-11-09,3042
567.95,567.95,556.05,560.85,2022-11-10,2938
560.25,560.3,540.2,547.05,2022-11-11,3123
560.0,560.0,541.0,556.45,2022-11-14,2141
547.65,574.95,538.6,548.0,2022-11-15,2878
541.05,551.8,535.0,539.05,2022-11-16,4008
543.0,555.95,529.0,540.75,2022-11-17,3873
554.85,554.85,532.0,535.6,2022-11-18,2100
536.0,548.2,525.1,532.2,2022-11-21,3746
525.1,547.5,525.1,544.0,2022-11-22,2957
541.0,547.3,513.6,532.7,2022-11-23,2164
531.0,546.35,528.85,534.05,2022-11-24,2645
554.0,554.0,521.15,525.95,2022-11-25,2818
539.0,539.0,525.1,529.45,2022-11-28,1045
530.45,535.95,521.0,530.85,2022-11-29,2751
527.65,538.35,527.05,533.8,2022-11-30,1299
536.15,543.95,525.0,532.05,2022-12-01,1992
529.0,537.95,516.05,528.05,2022-12-02,2928
528.05,536.5,525.0,534.75,2022-12-05,1295
527.1,535.0,522.05,531.55,2022-12-06,1876
525.2,529.9,525.0,525.35,2022-12-07,1486
527.75,531.9,525.0,528.35,2022-12-08,893
532.95,532.95,521.0,525.6,2022-12-09,1061
520.3,532.0,516.05,526.85,2022-12-12,1729
526.8,527.0,516.0,519.75,2022-12-13,1228
525.95,525.95,516.4,520.65,2022-12-14,1042
521.0,524.75,514.7,516.8,2022-12-15,1042
517.3,523.75,506.0,511.2,2022-12-16,1978
511.9,517.95,507.25,512.15,2022-12-19,570
509.05,519.45,506.05,513.0,2022-12-20,470
518.05,574.95,514.95,536.5,2022-12-21,17036
549.0,559.9,516.1,522.25,2022-12-22,4020
506.0,513.7,504.0,505.4,2022-12-23,1346
505.05,530.0,504.0,505.95,2022-12-26,2395
529.8,529.8,507.45,521.0,2022-12-27,626
520.7,523.8,512.1,514.85,2022-12-28,649
509.1,523.0,506.05,516.25,2022-12-29,1152
512.55,519.0,510.0,510.5,2022-12-30,1863
522.95,522.95,506.05,508.8,2023-01-02,1481
513.0,516.9,510.15,514.25,2023-01-03,224
524.95,524.95,508.05,511.3,2023-01-04,1324
508.85,517.75,500.0,506.4,2023-01-05,1735
511.0,513.0,504.05,506.1,2023-01-06,1490
506.6,510.0,503.95,505.5,2023-01-09,938
504.65,510.0,500.0,501.65,2023-01-10,1082
504.6,509.15,500.1,504.45,2023-01-11,1188
509.2,509.2,500.05,501.7,2023-01-12,517
502.2,505.25,495.05,498.6,2023-01-13,961
495.05,505.5,488.05,491.7,2023-01-16,823
497.55,505.0,486.0,487.05,2023-01-17,2675
489.1,490.0,486.0,486.9,2023-01-18,1252
488.5,505.95,488.0,490.3,2023-01-19,1045
489.0,490.5,486.0,487.65,2023-01-20,1333
490.4,520.85,489.95,497.7,2023-01-23,3481
506.9,511.4,498.3,499.2,2023-01-24,369
492.35,509.0,492.15,494.2,2023-01-25,539
496.15,500.95,454.0,467.0,2023-01-27,2156
460.1,476.5,454.2,460.9,2023-01-30,604
469.0,473.0,456.0,460.4,2023-01-31,1573
460.45,479.8,454.0,459.9,2023-02-01,609
464.95,480.0,457.55,475.45,2023-02-02,549
478.2,478.45,453.05,458.6,2023-02-03,931
465.0,465.0,452.15,459.3,2023-02-06,390
466.05,468.9,453.2,458.8,2023-02-07,250
458.8,467.95,458.25,459.85,2023-02-08,219
458.25,464.5,455.5,456.05,2023-02-09,301
463.15,464.9,455.1,456.6,2023-02-10,790
456.6,467.4,384.9,410.3,2023-02-13,15622
417.0,423.0,401.0,420.5,2023-02-14,1620
414.6,414.6,392.0,400.35,2023-02-15,2477
398.0,410.0,398.0,403.6,2023-02-16,1462
407.4,428.4,406.85,424.75,2023-02-17,2220
424.25,424.25,404.85,406.5,2023-02-20,1592
419.05,419.05,405.8,411.3,2023-02-21,1319
411.0,412.45,390.0,394.85,2023-02-22,2538
399.35,409.7,384.0,387.9,2023-02-23,1620
394.0,440.65,390.45,413.2,2023-02-24,5325
419.0,419.0,387.0,400.65,2023-02-27,1068
400.65,408.05,395.0,396.15,2023-02-28,1259
396.0,404.9,396.0,397.85,2023-03-01,767
399.95,400.4,390.05,395.15,2023-03-02,1403
402.15,413.0,401.05,405.55,2023-03-03,2170
409.9,409.95,401.5,402.6,2023-03-06,538
404.55,421.95,400.0,411.8,2023-03-08,2620
406.0,418.75,401.2,404.05,2023-03-09,2607
400.0,413.5,397.0,411.0,2023-03-10,2485
