open,high,low,close,date,volume
293.95,294.55,274.0,277.4,2023-07-05,129449
283.7,291.0,263.55,288.55,2023-07-06,125396
290.0,290.0,281.0,281.75,2023-07-07,80978
290.0,292.95,282.1,290.5,2023-07-10,70819
286.85,290.0,277.0,280.6,2023-07-11,68568
282.0,289.4,279.0,279.95,2023-07-12,25172
287.6,287.6,279.0,280.9,2023-07-13,55899
284.95,285.0,276.9,280.2,2023-07-14,14191
280.9,280.9,266.2,266.2,2023-07-17,64195
256.05,274.4,252.9,252.9,2023-07-18,37724
240.25,260.95,240.25,251.55,2023-07-19,67967
263.95,263.95,252.0,252.05,2023-07-20,3122
259.3,259.3,248.05,253.0,2023-07-21,34269
263.95,264.9,240.35,252.0,2023-07-24,18020
255.1,258.25,245.05,246.3,2023-07-25,8801
252.1,253.4,237.05,247.8,2023-07-26,10389
254.9,254.9,237.5,244.75,2023-07-27,5024
253.9,256.95,245.2,256.95,2023-07-28,21606
260.0,261.05,250.55,255.5,2023-07-31,25486
259.95,260.0,251.95,256.35,2023-08-01,9716
260.0,260.0,245.1,248.8,2023-08-02,4900
248.55,256.0,245.1,254.35,2023-08-03,2651
259.9,259.9,246.95,254.05,2023-08-04,2217
264.7,264.7,243.0,254.45,2023-08-07,6883
252.3,260.85,246.05,249.75,2023-08-08,8436
254.95,255.55,241.5,243.65,2023-08-09,26831
243.95,255.8,241.95,252.25,2023-08-10,4012
252.6,253.45,249.7,252.3,2023-08-11,561
264.0,264.0,249.65,254.35,2023-08-14,2438
258.4,260.0,251.85,258.9,2023-08-16,28430
265.0,270.0,256.95,267.15,2023-08-17,11102
276.2,276.2,267.0,272.65,2023-08-18,3354
271.25,272.45,262.65,266.1,2023-08-21,3538
267.0,272.95,260.5,263.95,2023-08-22,1728
276.75,276.8,262.15,262.4,2023-08-23,613
268.2,275.5,254.05,261.25,2023-08-24,5945
264.75,272.95,256.45,259.45,2023-08-25,7623
262.3,270.9,251.0,254.55,2023-08-28,2851
263.85,263.85,244.55,247.55,2023-08-29,2633
251.75,259.9,245.0,246.75,2023-08-30,1850
249.95,253.5,245.05,248.9,2023-08-31,448
254.05,257.0,245.0,253.25,2023-09-01,346
264.7,264.7,246.5,252.05,2023-09-04,323
263.45,263.45,245.0,249.0,2023-09-05,982
249.95,249.95,249.95,249.95,2023-09-06,1
259.45,259.45,240.0,241.4,2023-09-07,13630
249.7,253.45,233.7,246.2,2023-09-08,2644
250.0,251.9,245.0,246.2,2023-09-11,2776
246.85,248.95,235.0,237.55,2023-09-12,1536
237.7,249.0,232.55,245.5,2023-09-13,1544
247.9,247.9,235.55,241.2,2023-09-14,2003
250.9,253.0,240.0,250.25,2023-09-15,3329
245.1,250.0,240.0,243.55,2023-09-18,3645
249.9,250.0,239.25,241.7,2023-09-20,1683
247.05,253.75,240.1,242.2,2023-09-21,56752
250.0,252.4,237.65,240.0,2023-09-22,6948
237.9,251.8,235.9,243.55,2023-09-25,5672
246.15,249.8,232.0,233.65,2023-09-26,27863
233.9,245.3,227.25,244.6,2023-09-27,8400
250.25,250.9,236.95,244.8,2023-09-28,2888
244.1,246.05,236.5,237.1,2023-09-29,1085
246.9,248.95,236.05,248.95,2023-10-03,7010
248.35,254.8,245.0,247.95,2023-10-04,2840
255.05,259.8,241.3,246.8,2023-10-05,4442
255.75,256.25,241.15,242.5,2023-10-06,3124
231.55,254.0,231.55,242.85,2023-10-09,4404
244.45,267.1,241.0,264.2,2023-10-10,22070
271.85,289.35,270.0,277.5,2023-10-11,52920
283.0,284.0,264.0,266.7,2023-10-12,31015
282.05,293.35,265.05,293.35,2023-10-13,97530
311.0,318.9,293.35,298.6,2023-10-16,36071
306.0,317.0,296.25,298.8,2023-10-17,61093
301.0,307.0,299.1,300.7,2023-10-18,28246
300.7,302.9,295.1,299.5,2023-10-19,3287
305.65,305.65,285.95,293.55,2023-10-20,7593
302.85,317.0,289.95,299.95,2023-10-23,13950
312.9,312.9,298.05,300.05,2023-10-25,10846
300.0,300.0,272.3,289.75,2023-10-26,15984
276.5,292.95,276.5,289.4,2023-10-27,1267
299.9,299.9,279.0,284.6,2023-10-30,4221
304.95,304.95,285.2,286.95,2023-10-31,1718
294.85,294.85,276.0,284.45,2023-11-01,45115
289.15,289.8,266.5,284.05,2023-11-02,21162
281.0,292.25,275.2,280.45,2023-11-03,1891
289.0,296.05,288.25,294.65,2023-11-06,6346
294.0,301.95,287.45,292.05,2023-11-07,1990
292.0,300.0,290.0,295.05,2023-11-08,1935
296.85,296.85,281.1,284.75,2023-11-09,3324
292.45,292.45,267.85,274.8,2023-11-10,8145
283.0,288.0,273.95,275.85,2023-11-12,1284
283.1,283.1,268.15,275.9,2023-11-13,3405
276.0,278.9,266.1,277.1,2023-11-15,1409
277.35,277.4,265.1,266.8,2023-11-16,5692
278.15,278.15,266.15,272.7,2023-11-17,2779
278.5,279.95,267.6,270.95,2023-11-20,969
279.5,283.0,267.5,278.75,2023-11-21,3016
284.25,284.25,273.05,274.9,2023-11-22,6953
278.45,280.25,262.25,264.55,2023-11-23,6744
268.35,270.8,258.35,262.5,2023-11-24,1450
267.35,280.0,265.0,273.7,2023-11-28,4709
271.8,275.0,266.0,271.4,2023-11-29,4472
273.45,280.0,267.05,277.85,2023-11-30,3503
276.85,288.1,275.0,280.5,2023-12-01,8084
286.75,294.0,275.4,278.3,2023-12-04,12482
282.55,306.1,278.5,306.1,2023-12-05,26088
333.0,335.7,316.3,326.7,2023-12-06,28930
335.0,335.0,316.5,332.6,2023-12-07,12997
325.0,345.0,325.0,337.55,2023-12-08,18336
355.0,359.0,341.35,346.05,2023-12-11,14485
338.0,348.25,338.0,340.3,2023-12-12,7244
340.2,343.4,321.65,332.75,2023-12-13,8605
339.0,339.0,325.1,328.65,2023-12-14,4453
322.0,337.55,322.0,325.2,2023-12-15,12481
328.45,338.9,322.55,332.1,2023-12-18,10447
334.7,337.9,323.6,330.6,2023-12-19,5684
326.95,333.7,297.55,297.55,2023-12-20,14407
290.0,316.7,282.9,308.3,2023-12-21,13189
311.2,314.0,294.15,298.15,2023-12-22,5017
307.8,314.75,301.7,309.35,2023-12-26,9870
311.15,324.0,310.35,320.8,2023-12-27,21397
323.8,330.3,315.95,323.95,2023-12-28,4253
323.1,327.95,318.15,323.6,2023-12-29,9575
