open,high,low,close,date,volume
10.3,10.75,10.3,10.35,2022-11-22,628192
10.5,10.5,10.25,10.3,2022-11-23,716419
10.35,10.75,10.25,10.6,2022-11-24,1156434
10.7,10.7,10.5,10.55,2022-11-25,669079
10.7,10.75,10.55,10.7,2022-11-28,621394
10.75,11.2,10.7,11.2,2022-11-29,1881804
11.75,11.75,10.85,11.05,2022-11-30,2741929
11.05,11.2,10.9,11.1,2022-12-01,1240636
10.85,11.2,10.85,11.05,2022-12-02,1177615
11.05,11.4,11.0,11.1,2022-12-05,1893289
11.3,11.3,11.1,11.15,2022-12-06,778389
11.25,11.25,11.0,11.05,2022-12-07,659362
11.05,11.15,11.0,11.05,2022-12-08,649599
11.05,11.1,10.8,10.85,2022-12-09,924809
10.85,11.0,10.7,10.9,2022-12-12,1109673
11.0,11.1,10.95,11.0,2022-12-13,1192826
11.05,11.15,10.85,10.9,2022-12-14,1742926
10.9,11.7,10.85,10.95,2022-12-15,6979747
10.9,11.25,10.85,10.95,2022-12-16,2482399
11.1,12.0,11.0,11.6,2022-12-19,15788367
11.55,11.55,10.7,10.8,2022-12-20,8928598
11.05,11.1,9.9,10.15,2022-12-21,5520486
10.35,10.45,9.5,9.65,2022-12-22,6166714
9.6,9.9,8.8,8.9,2022-12-23,6173521
8.65,9.75,8.65,9.45,2022-12-26,5567904
9.45,10.15,9.45,9.85,2022-12-27,3476891
9.85,10.15,9.65,9.85,2022-12-28,2581724
9.9,9.95,9.75,9.9,2022-12-29,1367346
9.95,10.2,9.85,9.95,2022-12-30,2584534
10.05,10.3,10.0,10.15,2023-01-02,1924824
10.25,10.35,10.15,10.2,2023-01-03,1273086
10.3,10.35,10.0,10.0,2023-01-04,1255278
10.1,10.2,9.9,10.05,2023-01-05,1633019
10.05,10.15,9.9,9.95,2023-01-06,1184898
10.1,10.15,9.9,9.95,2023-01-09,1040359
9.95,10.0,9.8,9.9,2023-01-10,963436
10.0,10.05,9.8,9.9,2023-01-11,1132335
10.0,10.1,9.9,9.95,2023-01-12,997783
10.05,10.05,9.9,9.95,2023-01-13,925576
9.95,10.05,9.8,9.85,2023-01-16,1015841
9.9,10.0,9.8,9.9,2023-01-17,979549
9.95,9.95,9.8,9.85,2023-01-18,700180
9.9,9.9,9.6,9.85,2023-01-19,1346317
9.75,9.85,9.7,9.75,2023-01-20,1255235
9.7,9.75,9.3,9.45,2023-01-23,2180214
9.4,9.65,9.3,9.4,2023-01-24,1459434
9.35,9.45,9.25,9.3,2023-01-25,1058557
9.25,9.4,9.05,9.1,2023-01-27,1646038
9.15,9.15,8.9,8.95,2023-01-30,1404759
9.1,9.55,8.95,9.45,2023-01-31,1878912
9.6,9.9,9.1,9.3,2023-02-01,1651511
9.35,9.45,9.1,9.1,2023-02-02,1074950
9.15,9.25,8.8,8.95,2023-02-03,1595354
9.05,9.15,8.3,8.95,2023-02-06,2126451
9.1,9.1,8.7,8.75,2023-02-07,1768816
8.95,9.5,8.85,9.05,2023-02-08,3070427
9.1,9.2,8.9,9.0,2023-02-09,1146269
8.95,9.1,8.9,8.95,2023-02-10,1340913
9.1,9.1,8.9,8.9,2023-02-13,1183024
8.9,9.0,8.8,8.85,2023-02-14,630649
8.85,9.05,8.75,8.9,2023-02-15,945311
8.95,9.0,8.8,8.85,2023-02-16,764500
8.65,8.85,8.65,8.7,2023-02-17,1125794
8.7,8.75,8.55,8.6,2023-02-20,1318142
8.6,8.65,8.4,8.4,2023-02-21,1026250
8.4,8.45,8.1,8.25,2023-02-22,1399453
8.25,8.55,8.15,8.2,2023-02-23,1177808
8.25,8.4,8.15,8.2,2023-02-24,1302281
8.2,8.3,8.0,8.05,2023-02-27,1181353
8.15,8.25,8.05,8.15,2023-02-28,1038884
8.2,8.75,8.15,8.6,2023-03-01,2784581
8.6,8.75,8.35,8.4,2023-03-02,1052393
8.45,8.5,8.25,8.25,2023-03-03,1776358
8.35,8.6,8.1,8.15,2023-03-06,2209997
8.25,8.3,8.05,8.1,2023-03-08,1770097
8.1,8.3,8.05,8.1,2023-03-09,1428526
8.05,8.2,8.0,8.1,2023-03-10,1386922
8.1,8.15,7.8,7.9,2023-03-13,1919132
7.85,8.0,7.6,7.65,2023-03-14,2070755
7.7,8.3,7.7,7.75,2023-03-15,3749077
7.85,7.9,7.4,7.65,2023-03-16,2527200
7.75,7.9,7.55,7.6,2023-03-17,1496009
7.35,7.85,7.35,7.4,2023-03-20,1648927
7.5,7.6,7.25,7.3,2023-03-21,2319302
7.35,7.4,7.05,7.1,2023-03-22,2232936
7.1,7.2,7.0,7.0,2023-03-23,2036495
7.05,7.25,6.65,6.75,2023-03-24,3069471
6.85,6.9,6.3,6.4,2023-03-27,2510479
6.5,7.0,6.0,6.15,2023-03-28,7996168
6.15,6.45,6.1,6.25,2023-03-29,3758458
6.4,6.9,6.3,6.85,2023-03-31,3938107
7.0,7.6,6.95,7.5,2023-04-03,5344716
7.9,9.0,7.65,8.95,2023-04-05,28263081
9.0,9.4,8.0,8.15,2023-04-06,12754979
8.05,8.05,7.5,7.65,2023-04-10,4106081
7.65,8.45,7.65,8.25,2023-04-11,4892574
8.25,8.35,6.6,7.9,2023-04-12,3306839
7.9,8.2,7.9,8.1,2023-04-13,1571976
8.25,8.25,7.95,8.0,2023-04-17,1162883
7.9,8.15,7.9,7.95,2023-04-18,1118145
8.0,8.05,7.85,7.95,2023-04-19,1073347
7.95,8.0,7.9,7.95,2023-04-20,556959
8.0,8.05,7.8,7.9,2023-04-21,1235052
7.95,8.15,7.85,7.9,2023-04-24,1654979
7.9,8.0,7.75,7.8,2023-04-25,1597504
7.8,7.95,7.8,7.85,2023-04-26,998240
7.9,7.95,7.8,7.85,2023-04-27,905162
7.9,8.0,7.7,7.85,2023-04-28,1395947
7.9,7.95,7.8,7.9,2023-05-02,1256391
7.7,7.85,7.6,7.75,2023-05-03,1960451
7.7,8.0,7.7,7.9,2023-05-04,2038381
7.9,8.0,7.8,7.85,2023-05-05,1336294
7.85,7.95,7.75,7.8,2023-05-08,1213736
7.8,7.9,7.75,7.8,2023-05-09,1513276
7.85,7.9,7.65,7.8,2023-05-10,1241311
7.8,7.9,7.75,7.8,2023-05-11,1038755
7.8,7.9,7.75,7.8,2023-05-12,1248982
7.8,7.9,7.65,7.7,2023-05-15,1717452
7.7,7.8,7.7,7.75,2023-05-16,614962
7.7,7.8,7.55,7.7,2023-05-17,2086092
7.7,7.8,7.65,7.7,2023-05-18,623615
7.7,7.75,7.55,7.65,2023-05-19,688443
7.6,7.65,7.5,7.55,2023-05-22,2426496
7.55,7.75,7.55,7.7,2023-05-23,1741943
7.7,8.05,7.6,7.75,2023-05-24,2563527
7.7,7.8,7.7,7.75,2023-05-25,628296
7.7,7.9,7.7,7.75,2023-05-26,1626623
7.75,7.85,7.65,7.7,2023-05-29,1190844
7.7,7.75,7.6,7.7,2023-05-30,1422217
7.7,7.75,7.6,7.65,2023-05-31,1572749
7.7,7.85,7.7,7.8,2023-06-01,1443712
7.9,8.0,7.85,7.95,2023-06-02,1858152
8.0,8.15,7.95,8.1,2023-06-05,1986343
8.2,8.95,8.15,8.65,2023-06-06,8249517
8.8,9.55,8.65,9.3,2023-06-07,11813675
9.45,9.6,8.8,8.85,2023-06-08,6210491
10.25,10.6,10.2,10.6,2023-06-09,5782434
12.7,12.7,12.7,12.7,2023-06-12,3754768
12.6,12.6,11.45,11.45,2023-06-13,53157093
10.75,11.3,10.35,10.45,2023-06-14,25138556
10.4,11.45,10.35,11.0,2023-06-15,28052903
11.1,11.25,10.7,10.75,2023-06-16,8937210
10.85,10.95,10.3,10.35,2023-06-19,5594889
10.2,10.95,10.0,10.05,2023-06-20,6642121
10.2,10.2,9.75,9.8,2023-06-21,6449414
9.95,10.2,9.7,9.95,2023-06-22,11464417
10.1,10.1,9.45,9.65,2023-06-23,7764593
9.7,9.8,8.95,9.65,2023-06-26,12546502
9.75,9.9,9.4,9.55,2023-06-27,4465455
9.55,9.75,9.5,9.55,2023-06-28,2335806
9.6,9.75,9.55,9.6,2023-06-30,2061022
9.65,10.3,9.5,10.15,2023-07-03,9850017
10.25,10.6,9.95,10.2,2023-07-04,7923715
10.3,10.45,10.05,10.15,2023-07-05,2739385
10.3,10.3,10.0,10.05,2023-07-06,3683746
10.05,10.2,9.85,10.05,2023-07-07,2839313
10.15,10.2,9.85,9.95,2023-07-10,2571422
10.0,10.0,9.8,9.9,2023-07-11,2082613
10.0,10.1,9.8,9.9,2023-07-12,3396318
9.9,10.0,9.8,9.85,2023-07-13,2043148
9.85,9.9,9.65,9.7,2023-07-14,2133547
9.8,9.95,9.7,9.8,2023-07-17,3003828
9.8,9.9,9.65,9.75,2023-07-18,2963951
9.75,9.85,9.75,9.8,2023-07-19,1990841
9.8,9.9,9.7,9.75,2023-07-20,3247311
9.75,10.1,9.7,9.8,2023-07-21,4367956
9.95,10.2,9.9,10.05,2023-07-24,5813553
10.15,10.2,9.9,9.95,2023-07-25,2345794
10.05,10.1,9.9,9.95,2023-07-26,1738508
10.05,10.05,9.8,9.85,2023-07-27,2605133
9.9,9.95,9.75,9.8,2023-07-28,2133758
9.9,10.15,9.8,10.0,2023-07-31,3297098
10.1,11.0,10.0,10.5,2023-08-01,23460882
10.55,10.75,10.05,10.2,2023-08-02,7988018
10.2,10.35,10.0,10.15,2023-08-03,3227523
10.25,10.4,10.15,10.3,2023-08-04,3590734
10.45,10.7,10.4,10.45,2023-08-07,4007467
10.85,10.85,10.15,10.25,2023-08-08,4686107
10.3,10.8,10.3,10.35,2023-08-09,4604882
10.45,10.55,10.3,10.3,2023-08-10,3498346
10.4,10.4,10.05,10.15,2023-08-11,3199257
10.05,10.15,9.95,10.05,2023-08-14,3408092
10.05,10.1,9.9,9.95,2023-08-16,2341949
9.95,10.2,9.9,10.0,2023-08-17,2233924
10.05,10.1,9.9,9.95,2023-08-18,2089920
9.95,10.1,9.9,9.95,2023-08-21,2362250
9.95,10.05,9.95,9.95,2023-08-22,2289933
10.05,10.35,10.0,10.05,2023-08-23,6889743
10.15,10.2,9.95,10.0,2023-08-24,3593112
10.0,10.05,9.9,9.95,2023-08-25,2926305
9.95,10.2,9.9,9.95,2023-08-28,4787419
10.0,10.05,9.9,9.95,2023-08-29,2606652
9.95,10.15,9.9,9.9,2023-08-30,9467814
9.95,10.0,9.75,9.8,2023-08-31,3201063
9.8,9.95,9.8,9.9,2023-09-01,2696832
9.9,10.05,9.9,9.95,2023-09-04,5201023
9.95,11.1,9.95,10.25,2023-09-05,26337578
10.35,10.5,9.95,10.05,2023-09-06,9578670
10.1,10.15,10.0,10.05,2023-09-07,6611334
10.1,10.55,10.05,10.2,2023-09-08,11708508
10.4,10.5,10.25,10.3,2023-09-11,8529096
10.4,10.45,9.7,9.85,2023-09-12,10143281
9.85,10.05,9.75,9.85,2023-09-13,6014982
9.9,10.1,9.85,9.9,2023-09-14,4572527
10.0,10.15,9.85,9.9,2023-09-15,4502973
9.95,10.15,9.85,9.95,2023-09-18,5021928
9.9,10.05,9.85,9.9,2023-09-20,4274272
9.95,9.95,9.8,9.8,2023-09-21,3310499
9.85,10.05,9.8,9.85,2023-09-22,3010494
9.9,9.95,9.8,9.8,2023-09-25,3063687
9.85,9.95,9.8,9.85,2023-09-26,2216927
9.85,9.95,9.75,9.9,2023-09-27,3853009
9.9,9.95,9.75,9.8,2023-09-28,2119888
9.85,9.95,9.75,9.8,2023-09-29,2545002
9.8,9.85,9.7,9.75,2023-10-03,2818831
9.8,9.8,9.6,9.65,2023-10-04,2407989
9.7,9.85,9.6,9.65,2023-10-05,2510255
9.75,10.6,9.7,10.1,2023-10-06,10996130
9.8,9.95,9.7,9.75,2023-10-09,5210998
9.85,10.0,9.8,9.85,2023-10-10,3125954
9.85,10.05,9.85,9.95,2023-10-11,3653235
10.0,10.05,9.9,9.9,2023-10-12,2651768
9.85,10.05,9.8,9.9,2023-10-13,2754636
9.9,10.0,9.85,9.85,2023-10-16,1912940
9.95,10.0,9.85,9.9,2023-10-17,1922580
9.95,10.0,9.8,9.85,2023-10-18,1703785
9.85,9.95,9.75,9.8,2023-10-19,2943020
9.8,10.05,9.75,9.75,2023-10-20,3988600
9.8,9.9,9.2,9.3,2023-10-23,4681474
9.35,9.55,9.0,9.1,2023-10-25,3463850
9.05,9.3,8.8,9.2,2023-10-26,3377682
9.25,9.45,9.25,9.4,2023-10-27,2244679
