open,high,low,close,date,volume
99.85,99.85,95.0,95.35,2022-09-29,82672
95.35,100.0,95.0,99.15,2022-09-30,91535
97.5,98.3,95.1,95.3,2022-10-03,135443
98.95,99.5,96.35,97.5,2022-10-04,125647
97.5,98.85,95.05,96.8,2022-10-06,231744
98.2,98.2,96.25,96.75,2022-10-07,106855
98.2,105.15,97.5,100.4,2022-10-10,116966
102.85,102.85,98.15,99.0,2022-10-11,85284
99.7,101.5,98.1,99.65,2022-10-12,48749
99.35,101.0,98.25,98.65,2022-10-13,34114
98.55,101.0,98.05,98.1,2022-10-14,40657
100.0,100.0,95.5,96.35,2022-10-17,54916
98.95,99.0,96.4,96.8,2022-10-18,15664
96.8,97.9,95.05,97.0,2022-10-19,18663
97.1,100.0,96.05,97.75,2022-10-20,150614
97.2,99.15,96.55,97.25,2022-10-21,20607
98.2,103.0,98.15,101.5,2022-10-24,122312
102.9,103.0,99.2,99.95,2022-10-25,41600
99.2,103.9,99.15,101.9,2022-10-27,99212
104.0,105.9,101.5,103.65,2022-10-28,93849
107.0,107.0,102.5,105.5,2022-10-31,187104
105.9,108.1,105.0,106.2,2022-11-01,88097
108.1,109.9,105.45,105.9,2022-11-02,118260
107.5,107.5,101.7,102.35,2022-11-03,140753
102.5,105.35,102.5,103.6,2022-11-04,98808
105.95,105.95,97.8,101.3,2022-11-07,91900
101.3,104.45,100.0,102.1,2022-11-09,85985
102.95,103.55,100.0,100.6,2022-11-10,86362
100.65,103.0,99.1,99.75,2022-11-11,149695
100.0,100.0,95.1,96.75,2022-11-14,96624
97.1,98.85,95.1,96.3,2022-11-15,28006
99.0,99.0,95.05,95.85,2022-11-16,39240
98.0,107.5,95.3,98.7,2022-11-17,297448
100.0,114.8,99.1,112.85,2022-11-18,1232525
113.85,122.95,111.3,122.2,2022-11-21,1175636
122.5,123.8,116.5,117.15,2022-11-22,435604
119.5,121.7,112.1,115.15,2022-11-23,164980
115.5,119.85,115.0,116.5,2022-11-24,115616
116.0,123.5,115.5,121.05,2022-11-25,264304
121.5,127.4,120.0,122.8,2022-11-28,275684
121.55,127.85,121.55,123.45,2022-11-29,131133
125.6,125.8,121.95,122.85,2022-11-30,102926
121.55,126.65,121.2,125.2,2022-12-01,222479
129.0,129.0,123.5,124.3,2022-12-02,125552
125.95,127.0,122.45,123.95,2022-12-05,70667
123.95,125.75,121.95,122.8,2022-12-06,153118
126.25,126.55,121.45,123.0,2022-12-07,139667
124.9,124.95,121.85,122.45,2022-12-08,134567
124.0,146.9,122.95,146.85,2022-12-09,2299118
150.95,154.4,144.0,147.35,2022-12-12,1060946
149.0,152.9,146.2,149.2,2022-12-13,398921
150.05,152.2,147.05,150.2,2022-12-14,182982
147.3,160.5,147.3,152.5,2022-12-15,1122015
155.0,161.0,149.0,151.25,2022-12-16,501433
154.9,156.0,152.05,152.65,2022-12-19,132478
152.75,157.0,150.95,153.9,2022-12-20,250371
