open,high,low,close,date,volume
580.0,584.95,560.9,565.25,2022-09-29,69675
565.25,573.75,555.0,568.55,2022-09-30,71551
573.0,575.0,565.0,565.95,2022-10-03,45303
574.0,579.8,563.85,565.75,2022-10-04,70901
568.5,644.7,568.5,614.7,2022-10-06,322992
619.0,652.0,615.05,626.4,2022-10-07,320796
630.5,631.5,607.7,616.35,2022-10-10,223524
624.0,624.0,612.0,616.4,2022-10-11,250132
620.0,652.7,613.0,646.85,2022-10-12,251830
651.45,684.0,651.4,674.7,2022-10-13,300567
693.9,700.0,670.0,672.55,2022-10-14,178403
672.55,678.6,660.0,663.55,2022-10-17,94954
669.75,678.4,663.5,665.25,2022-10-18,130752
671.85,733.45,671.7,718.8,2022-10-19,316682
727.3,738.9,681.2,710.0,2022-10-20,245915
714.95,740.0,706.9,732.7,2022-10-21,165545
745.0,750.9,735.45,746.35,2022-10-24,82791
750.0,756.9,740.0,752.1,2022-10-25,76324
768.0,774.85,754.0,762.2,2022-10-27,201005
765.0,765.0,746.2,756.1,2022-10-28,109088
764.7,765.0,754.0,755.35,2022-10-31,65589
759.9,759.9,750.0,750.6,2022-11-01,73608
754.85,768.8,748.0,755.3,2022-11-02,68058
756.7,756.7,748.0,750.8,2022-11-03,76543
755.0,756.75,742.0,752.7,2022-11-04,160393
755.0,767.3,751.0,759.85,2022-11-07,99108
767.8,767.8,743.0,751.0,2022-11-09,143230
753.0,756.0,748.05,752.15,2022-11-10,211094
756.75,757.0,700.0,731.7,2022-11-11,91645
738.7,738.7,718.5,722.35,2022-11-14,122346
724.0,724.3,711.95,715.0,2022-11-15,157556
711.0,719.0,708.0,711.95,2022-11-16,92186
711.5,711.55,686.45,701.45,2022-11-17,365017
705.0,709.0,702.0,702.7,2022-11-18,64777
707.95,708.5,702.75,703.05,2022-11-21,103077
707.0,707.75,704.0,704.05,2022-11-22,35825
705.0,708.0,695.0,704.5,2022-11-23,128634
707.4,707.4,645.25,651.65,2022-11-24,1331213
659.7,673.9,655.4,663.75,2022-11-25,379491
668.0,678.9,660.1,672.3,2022-11-28,171660
678.0,693.0,674.1,685.0,2022-11-29,151810
693.0,702.0,685.3,694.8,2022-11-30,154975
697.0,700.0,644.55,680.3,2022-12-01,1691245
700.0,725.0,696.0,713.15,2022-12-02,416827
721.05,730.0,720.0,725.1,2022-12-05,141551
727.0,729.8,712.0,722.45,2022-12-06,60018
727.95,727.95,717.5,720.35,2022-12-07,183364
722.0,735.0,720.9,731.5,2022-12-08,226525
736.0,736.0,731.0,733.15,2022-12-09,78826
744.75,744.75,733.0,735.45,2022-12-12,43742
737.0,743.0,735.0,741.55,2022-12-13,62096
746.0,746.0,740.0,744.35,2022-12-14,42634
746.1,747.0,741.0,744.25,2022-12-15,116032
747.0,747.0,726.6,742.55,2022-12-16,112316
747.0,747.0,741.0,741.95,2022-12-19,99921
746.45,746.45,736.5,742.9,2022-12-20,97389
750.0,761.85,721.0,744.7,2022-12-21,188177
747.0,751.9,726.6,735.5,2022-12-22,381036
736.95,736.95,675.0,701.8,2022-12-23,290008
704.95,707.0,693.0,700.65,2022-12-26,313214
706.95,719.0,700.0,708.05,2022-12-27,505903
705.15,716.0,705.15,708.6,2022-12-28,194748
708.6,708.6,703.55,705.65,2022-12-29,88002
713.0,715.5,708.0,714.8,2022-12-30,96593
717.0,717.0,712.0,715.15,2023-01-02,70431
719.0,725.5,714.75,724.75,2023-01-03,127518
725.0,728.0,720.0,724.1,2023-01-04,48851
724.4,726.0,719.0,724.75,2023-01-05,47807
723.0,726.0,716.0,719.05,2023-01-06,35599
723.6,729.0,722.0,725.2,2023-01-09,90609
728.0,728.0,721.0,724.3,2023-01-10,14759
724.3,729.0,723.05,726.0,2023-01-11,67395
726.0,729.5,723.0,725.1,2023-01-12,239780
729.5,729.5,722.0,725.85,2023-01-13,71408
728.0,728.0,721.0,722.3,2023-01-16,33590
722.5,724.45,720.5,723.95,2023-01-17,119771
721.0,725.8,721.0,723.2,2023-01-18,38690
727.7,728.0,719.0,723.55,2023-01-19,144336
725.0,727.35,717.75,723.05,2023-01-20,68033
726.7,762.6,726.7,739.85,2023-01-23,113514
733.0,739.7,732.0,733.25,2023-01-24,45416
732.0,735.0,729.95,731.15,2023-01-25,47480
733.0,736.75,728.1,730.35,2023-01-27,192489
730.9,739.7,730.65,731.0,2023-01-30,65844
737.0,737.0,731.0,732.0,2023-01-31,37804
738.0,738.0,729.0,730.1,2023-02-01,120632
731.0,734.8,729.0,731.85,2023-02-02,29549
734.0,745.0,732.05,734.0,2023-02-03,66213
737.75,737.75,731.0,731.6,2023-02-06,48642
736.9,737.0,733.0,735.4,2023-02-07,41767
738.0,738.0,728.6,731.8,2023-02-08,135595
735.9,736.0,734.0,735.15,2023-02-09,87164
737.85,738.0,720.2,730.95,2023-02-10,113883
731.0,731.0,712.0,720.0,2023-02-13,240312
732.0,732.0,725.0,727.7,2023-02-14,86442
731.75,735.0,723.05,728.85,2023-02-15,61868
729.95,730.0,720.75,727.9,2023-02-16,107532
728.0,731.0,721.55,725.75,2023-02-17,99348
729.95,729.95,721.45,722.7,2023-02-20,102108
728.7,728.7,716.75,720.35,2023-02-21,204028
722.9,729.0,720.8,726.7,2023-02-22,113065
729.0,729.95,721.9,725.3,2023-02-23,68574
725.3,726.5,714.95,721.5,2023-02-24,102027
722.0,724.75,717.5,720.4,2023-02-27,109343
724.75,724.75,720.0,721.25,2023-02-28,68080
723.0,723.55,720.0,720.05,2023-03-01,180413
723.75,725.0,717.8,724.85,2023-03-02,41322
725.0,732.0,723.0,730.7,2023-03-03,63620
734.0,735.0,728.0,729.5,2023-03-06,44126
728.0,732.6,726.25,729.0,2023-03-08,34831
731.6,732.45,728.0,728.35,2023-03-09,86050
728.0,732.0,726.0,729.15,2023-03-10,38919
729.95,732.0,728.0,728.4,2023-03-13,40223
731.35,731.4,726.0,728.7,2023-03-14,46741
731.85,734.0,730.0,730.15,2023-03-15,39457
729.6,729.85,724.5,725.7,2023-03-16,58272
731.7,732.0,726.1,729.65,2023-03-17,54432
730.0,730.0,719.5,726.15,2023-03-20,52985
731.6,733.0,728.05,729.9,2023-03-21,104666
732.45,733.45,725.5,730.15,2023-03-22,77368
732.4,732.5,728.0,729.35,2023-03-23,51117
728.0,731.9,711.0,723.05,2023-03-24,90210
725.95,728.9,723.55,725.6,2023-03-27,157177
729.0,729.05,723.55,726.15,2023-03-28,40291
728.0,730.0,721.0,728.25,2023-03-29,61739
730.0,755.9,730.0,746.0,2023-03-31,213339
746.0,821.75,746.0,772.4,2023-04-03,303371
775.0,791.7,773.75,782.6,2023-04-05,109934
785.0,785.0,775.0,778.3,2023-04-06,51529
781.0,787.0,777.1,780.95,2023-04-10,65125
780.0,793.95,737.95,781.6,2023-04-11,784170
803.0,867.6,795.35,834.45,2023-04-12,1251297
854.0,863.0,836.9,854.35,2023-04-13,295553
870.0,924.0,860.5,888.8,2023-04-17,355200
888.05,916.0,871.2,903.7,2023-04-18,204973
904.85,923.0,888.15,903.45,2023-04-19,146384
905.0,908.65,880.2,885.85,2023-04-20,54945
887.0,895.0,875.25,883.4,2023-04-21,59674
885.0,904.65,877.0,887.65,2023-04-24,50894
897.0,897.0,884.4,889.1,2023-04-25,32630
903.95,903.95,875.1,886.8,2023-04-26,49557
