open,high,low,close,date,volume
397.55,398.0,375.0,382.65,2022-09-29,76298
384.6,392.9,375.8,387.9,2022-09-30,16797
389.85,403.5,377.0,380.95,2022-10-03,49666
383.0,387.85,340.0,384.95,2022-10-04,64147
388.0,392.0,380.3,389.5,2022-10-06,33308
390.0,391.95,375.25,380.3,2022-10-07,71485
380.0,384.9,378.4,380.85,2022-10-10,34504
382.8,383.8,378.05,381.15,2022-10-11,16075
383.1,386.0,380.85,384.55,2022-10-12,20093
384.7,387.65,378.1,380.55,2022-10-13,10896
381.0,386.9,378.7,381.35,2022-10-14,13224
383.3,388.55,376.5,385.85,2022-10-17,22041
385.5,389.8,383.35,388.4,2022-10-18,20379
388.35,390.35,380.0,382.3,2022-10-19,11795
377.1,384.25,374.45,376.4,2022-10-20,19736
378.25,381.85,374.9,376.95,2022-10-21,25721
380.1,382.9,366.75,374.9,2022-10-24,15514
371.5,378.9,369.1,377.0,2022-10-25,19890
378.0,382.5,378.0,380.25,2022-10-27,10687
382.2,383.35,375.75,380.4,2022-10-28,15261
382.35,385.0,373.7,378.75,2022-10-31,32131
381.95,382.0,376.0,380.85,2022-11-01,19523
380.85,390.9,378.7,386.65,2022-11-02,29805
388.6,394.4,385.1,386.7,2022-11-03,11283
388.25,393.35,381.95,383.35,2022-11-04,10201
385.1,388.95,385.0,385.55,2022-11-07,10409
393.0,397.4,382.4,394.1,2022-11-09,45167
391.55,393.6,380.7,383.15,2022-11-10,11399
385.1,404.45,358.05,376.35,2022-11-11,90378
373.0,376.05,369.45,371.8,2022-11-14,48888
372.55,377.0,367.75,371.9,2022-11-15,29858
371.9,396.0,371.9,381.5,2022-11-16,36622
381.5,383.9,375.2,376.5,2022-11-17,10233
376.5,381.0,370.0,376.15,2022-11-18,24266
376.0,384.0,373.0,379.75,2022-11-21,13030
381.65,381.65,372.75,374.25,2022-11-22,40572
371.2,377.0,370.1,372.7,2022-11-23,26294
370.2,375.35,360.0,367.25,2022-11-24,47979
369.15,372.05,366.1,369.15,2022-11-25,20055
375.0,375.0,366.55,371.0,2022-11-28,24432
370.45,376.0,368.0,370.05,2022-11-29,13305
371.95,375.0,366.35,369.9,2022-11-30,24696
371.75,372.9,367.0,368.6,2022-12-01,24904
370.45,370.95,362.25,368.3,2022-12-02,30723
371.85,372.9,367.3,368.2,2022-12-05,41073
365.3,372.5,364.05,368.55,2022-12-06,22449
368.65,372.2,367.9,370.8,2022-12-07,8462
372.7,372.7,365.0,366.15,2022-12-08,15136
368.0,368.0,360.0,363.4,2022-12-09,30431
368.9,368.9,361.0,364.75,2022-12-12,16399
366.6,369.1,339.0,347.0,2022-12-13,309852
348.75,354.95,345.15,350.6,2022-12-14,30883
350.6,353.8,345.15,347.65,2022-12-15,12235
347.05,347.15,340.0,344.7,2022-12-16,29667
346.45,354.0,342.55,349.55,2022-12-19,29419
351.3,356.5,347.0,352.0,2022-12-20,25182
353.8,353.8,346.85,350.85,2022-12-21,30954
352.65,352.65,340.6,351.15,2022-12-22,39504
345.15,352.65,343.25,350.2,2022-12-23,42488
345.0,353.9,338.0,343.2,2022-12-26,17991
343.7,349.2,343.7,345.1,2022-12-27,14404
346.25,353.8,345.0,352.0,2022-12-28,14718
347.15,356.9,347.1,354.1,2022-12-29,15823
357.9,368.0,353.5,360.7,2022-12-30,31848
362.55,375.6,361.95,372.85,2023-01-02,37436
372.85,378.0,367.5,376.55,2023-01-03,29880
376.2,376.3,370.1,373.9,2023-01-04,15336
374.05,374.3,367.0,367.6,2023-01-05,7944
367.1,377.9,367.1,370.85,2023-01-06,12843
372.75,378.0,370.0,377.4,2023-01-09,13301
379.3,382.9,376.05,380.05,2023-01-10,20843
382.0,392.0,380.1,384.0,2023-01-11,114694
385.95,388.0,380.1,381.95,2023-01-12,9754
383.5,383.5,372.35,374.35,2023-01-13,13996
376.0,376.7,370.0,371.35,2023-01-16,6821
372.0,372.95,366.05,367.15,2023-01-17,7442
369.0,369.0,358.7,360.05,2023-01-18,16842
358.75,361.75,358.1,359.5,2023-01-19,5174
359.8,361.75,357.0,359.2,2023-01-20,9231
361.0,364.9,358.6,360.65,2023-01-23,10662
