open,high,low,close,date,volume
676.35,682.05,644.0,649.4,2022-09-29,342862
652.65,668.8,646.9,665.55,2022-09-30,270244
670.0,719.8,670.0,714.65,2022-10-03,1444504
720.8,729.0,693.3,702.8,2022-10-04,835414
707.95,718.4,697.05,699.0,2022-10-06,319366
702.45,710.0,698.5,706.85,2022-10-07,208995
710.0,713.45,695.6,698.05,2022-10-10,205035
701.65,706.35,685.0,694.5,2022-10-11,272703
694.5,695.3,678.0,688.35,2022-10-12,214945
688.4,694.0,680.7,689.2,2022-10-13,147160
704.0,709.8,685.1,687.2,2022-10-14,249856
687.35,700.0,675.95,686.1,2022-10-17,100820
688.7,691.65,680.25,684.9,2022-10-18,96093
684.9,693.0,682.0,687.6,2022-10-19,86442
685.3,690.1,681.1,689.2,2022-10-20,109617
696.0,722.95,696.0,709.65,2022-10-21,865256
718.8,723.9,715.0,720.65,2022-10-24,148931
720.3,726.05,705.95,710.7,2022-10-25,212422
717.5,717.5,701.1,706.7,2022-10-27,179763
710.25,710.25,701.0,704.4,2022-10-28,95375
707.95,764.0,707.55,747.1,2022-10-31,1154900
760.0,765.0,726.85,731.65,2022-11-01,532290
735.0,745.0,728.0,730.9,2022-11-02,190861
732.3,746.95,726.1,729.25,2022-11-03,275633
732.15,738.0,725.55,729.65,2022-11-04,212157
733.3,735.9,715.0,724.95,2022-11-07,183349
725.7,735.0,722.95,732.75,2022-11-09,199593
732.0,740.45,723.65,726.95,2022-11-10,148958
730.0,738.6,718.0,721.8,2022-11-11,215914
725.45,725.85,705.55,708.85,2022-11-14,124777
708.5,715.0,705.55,709.9,2022-11-15,127349
713.35,714.05,700.1,708.0,2022-11-16,129500
707.2,713.85,701.5,704.4,2022-11-17,199839
706.9,716.7,688.55,700.95,2022-11-18,170869
701.9,717.9,699.7,709.85,2022-11-21,342761
711.4,730.0,708.0,725.05,2022-11-22,150251
724.0,727.95,713.8,718.05,2022-11-23,187588
720.05,725.55,709.0,713.5,2022-11-24,145871
715.15,728.0,715.15,721.75,2022-11-25,279228
722.5,739.0,722.5,732.2,2022-11-28,520396
735.0,738.1,723.45,727.75,2022-11-29,166320
732.0,738.1,713.25,720.55,2022-11-30,188127
720.55,732.0,714.05,720.55,2022-12-01,174539
719.0,725.0,715.0,718.95,2022-12-02,80536
722.5,725.0,711.5,715.3,2022-12-05,236825
717.45,720.9,702.45,709.55,2022-12-06,175470
712.0,719.05,707.0,711.4,2022-12-07,235170
712.0,713.6,705.05,707.3,2022-12-08,94841
708.8,747.0,708.3,731.25,2022-12-09,653589
739.5,744.55,728.0,740.9,2022-12-12,322890
744.0,760.0,729.0,731.6,2022-12-13,332680
732.4,742.0,720.0,737.9,2022-12-14,181012
738.8,739.7,720.0,723.15,2022-12-15,79456
716.6,726.5,706.0,713.9,2022-12-16,197079
715.65,719.15,710.15,714.3,2022-12-19,139873
714.95,718.1,707.6,712.4,2022-12-20,64410
720.0,724.0,685.0,690.55,2022-12-21,165684
690.5,696.95,661.0,682.45,2022-12-22,171468
682.45,682.45,652.0,661.6,2022-12-23,205469
661.25,687.45,656.35,679.65,2022-12-26,109904
682.0,699.0,673.5,678.0,2022-12-27,98929
677.95,683.8,673.75,680.55,2022-12-28,49097
681.55,684.0,668.5,671.4,2022-12-29,67343
674.8,679.85,664.0,668.15,2022-12-30,126823
671.5,690.0,666.95,687.6,2023-01-02,109594
681.1,688.0,677.5,680.45,2023-01-03,187780
686.9,690.0,678.5,686.9,2023-01-04,161112
689.85,689.85,679.15,683.75,2023-01-05,72131
683.0,685.1,674.45,677.4,2023-01-06,50781
680.8,694.7,678.75,693.3,2023-01-09,164337
696.8,699.0,683.1,688.2,2023-01-10,131279
691.65,695.35,682.35,687.15,2023-01-11,69666
687.35,692.9,682.45,690.65,2023-01-12,60579
688.6,709.7,687.1,706.65,2023-01-13,159844
707.95,708.0,698.1,703.25,2023-01-16,127045
697.6,705.05,689.0,694.35,2023-01-17,64203
695.05,701.65,688.4,693.1,2023-01-18,52777
686.85,705.0,686.85,698.0,2023-01-19,105492
698.7,700.95,686.0,688.95,2023-01-20,221540
690.0,704.95,690.0,701.3,2023-01-23,141353
701.0,713.15,691.0,705.9,2023-01-24,152541
706.9,730.95,705.3,723.85,2023-01-25,510533
716.0,716.0,700.0,702.05,2023-01-27,228865
696.25,718.95,692.05,714.5,2023-01-30,301598
715.8,718.3,698.0,699.25,2023-01-31,110190
705.25,724.0,660.1,686.4,2023-02-01,961412
689.85,699.9,680.55,684.55,2023-02-02,95257
688.0,692.0,678.7,687.3,2023-02-03,82592
690.75,690.9,658.2,663.9,2023-02-06,191247
667.25,677.0,665.2,671.5,2023-02-07,70599
666.0,669.95,660.95,662.05,2023-02-08,95443
662.05,690.0,652.0,680.55,2023-02-09,287438
680.55,687.75,671.0,674.6,2023-02-10,78537
674.6,674.6,659.5,663.0,2023-02-13,84326
664.3,665.8,649.05,656.2,2023-02-14,135727
659.5,661.95,654.65,658.9,2023-02-15,255962
661.15,664.15,656.45,661.55,2023-02-16,45075
659.05,674.0,659.05,665.05,2023-02-17,72267
666.95,674.8,656.95,661.65,2023-02-20,56789
669.0,672.15,658.4,660.65,2023-02-21,78438
658.0,667.95,658.0,665.9,2023-02-22,69120
669.25,673.95,658.0,661.2,2023-02-23,84038
664.1,665.2,642.65,650.8,2023-02-24,46360
647.9,679.0,636.9,656.0,2023-02-27,121396
652.75,654.85,626.45,638.0,2023-02-28,231180
