open,high,low,close,date,volume
244.95,245.6,240.0,243.85,2022-09-29,11771
240.0,248.0,239.15,242.2,2022-09-30,16360
243.0,247.0,239.9,242.25,2022-10-03,17454
242.1,247.9,239.0,243.5,2022-10-04,24604
246.95,250.4,241.45,245.05,2022-10-06,26733
246.8,251.8,242.35,250.55,2022-10-07,27357
250.55,250.95,244.05,248.5,2022-10-10,34721
249.0,254.05,247.05,250.05,2022-10-11,33778
251.0,258.95,244.2,251.85,2022-10-12,38596
252.3,253.5,247.25,250.55,2022-10-13,7917
251.5,256.95,250.05,254.25,2022-10-14,42359
256.0,256.0,251.1,252.95,2022-10-17,8862
255.0,255.55,250.05,253.8,2022-10-18,18977
252.25,253.9,248.6,249.8,2022-10-19,22711
252.75,252.75,248.15,250.3,2022-10-20,6124
240.0,256.5,240.0,254.7,2022-10-21,36772
258.0,272.0,250.25,269.95,2022-10-24,154902
266.0,274.95,261.5,265.4,2022-10-25,70916
265.4,269.2,256.55,260.45,2022-10-27,49162
265.0,265.0,259.8,260.05,2022-10-28,19861
264.0,266.95,260.3,262.05,2022-10-31,30741
262.05,264.95,258.05,259.0,2022-11-01,18757
263.9,263.9,252.7,254.05,2022-11-02,39865
253.95,258.2,253.05,255.4,2022-11-03,18902
258.95,269.65,255.5,262.3,2022-11-04,44243
260.0,264.75,257.05,261.25,2022-11-07,26625
259.5,263.95,255.55,260.0,2022-11-09,26429
255.0,259.4,253.0,254.9,2022-11-10,20412
259.9,261.05,255.05,256.65,2022-11-11,30595
255.55,262.1,252.0,254.8,2022-11-14,37976
254.8,258.95,254.1,256.6,2022-11-15,16817
254.05,260.0,254.0,254.25,2022-11-16,16237
259.0,259.0,250.0,251.35,2022-11-17,18898
256.0,256.0,250.0,252.0,2022-11-18,16633
252.0,254.75,249.5,250.55,2022-11-21,21157
250.55,253.1,250.1,251.95,2022-11-22,6301
253.9,253.9,250.0,250.2,2022-11-23,18960
253.55,253.9,250.45,250.7,2022-11-24,13286
254.0,254.0,249.6,250.05,2022-11-25,35098
256.0,257.0,249.75,253.5,2022-11-28,90044
251.5,260.5,251.5,258.7,2022-11-29,38746
258.95,262.95,258.1,261.1,2022-11-30,30923
263.0,263.05,258.0,259.8,2022-12-01,28806
260.0,261.0,255.55,259.55,2022-12-02,25561
257.55,266.6,257.55,264.1,2022-12-05,75954
264.1,267.95,262.3,266.0,2022-12-06,41861
268.0,269.0,264.6,266.9,2022-12-07,36971
269.0,269.0,263.55,266.15,2022-12-08,21195
267.9,267.9,258.0,265.05,2022-12-09,16023
264.95,280.0,263.0,277.0,2022-12-12,148760
278.7,314.8,278.0,305.7,2022-12-13,989258
310.0,319.0,301.0,305.65,2022-12-14,413774
302.55,309.05,298.1,301.85,2022-12-15,113993
300.9,319.0,294.55,315.1,2022-12-16,369466
319.95,332.0,319.25,323.85,2022-12-19,531575
324.35,327.85,311.85,317.1,2022-12-20,137608
321.8,331.0,295.1,299.3,2022-12-21,247356
299.3,307.6,280.4,283.55,2022-12-22,183100
275.1,283.1,262.55,269.95,2022-12-23,205102
265.15,288.2,265.1,278.5,2022-12-26,135592
281.95,296.0,277.0,278.6,2022-12-27,142522
281.4,290.4,274.25,277.75,2022-12-28,148091
278.85,299.2,276.65,297.55,2022-12-29,171903
299.4,318.6,299.25,306.85,2022-12-30,243110
311.5,313.15,306.05,307.7,2023-01-02,108054
310.0,329.8,310.0,318.45,2023-01-03,182328
315.15,319.7,305.0,306.9,2023-01-04,122422
309.8,315.0,307.4,311.45,2023-01-05,80259
312.8,315.0,298.3,303.8,2023-01-06,82848
306.0,313.95,305.35,308.45,2023-01-09,53905
306.0,318.65,302.0,308.65,2023-01-10,83340
310.8,314.9,310.35,312.5,2023-01-11,56696
315.0,317.05,299.6,303.85,2023-01-12,63584
307.0,333.0,305.2,324.2,2023-01-13,533796
329.95,334.9,320.9,324.15,2023-01-16,238731
326.0,327.7,319.0,321.6,2023-01-17,59449
320.2,326.0,316.1,320.75,2023-01-18,52652
320.75,345.0,320.75,339.6,2023-01-19,410360
347.0,354.0,341.35,344.4,2023-01-20,418448
344.75,344.75,330.5,332.3,2023-01-23,99728
331.0,331.0,318.95,327.5,2023-01-24,119127
326.0,331.55,312.85,319.1,2023-01-25,122779
319.0,326.9,302.0,306.0,2023-01-27,105206
307.95,322.9,302.7,319.75,2023-01-30,186649
322.0,322.95,310.1,318.05,2023-01-31,54389
320.0,325.0,309.0,313.7,2023-02-01,64202
308.5,329.65,308.5,320.95,2023-02-02,96576
323.65,325.9,312.0,316.8,2023-02-03,44033
317.9,332.3,313.0,328.15,2023-02-06,106229
321.6,329.0,318.95,320.8,2023-02-07,72347
324.0,344.9,318.6,341.85,2023-02-08,292076
343.0,344.65,331.95,336.05,2023-02-09,94348
333.1,349.0,332.0,342.3,2023-02-10,126265
345.7,347.55,332.1,340.25,2023-02-13,92575
343.7,346.65,336.0,343.3,2023-02-14,49032
335.3,354.9,335.3,344.15,2023-02-15,110663
343.9,348.0,339.05,347.05,2023-02-16,28299
348.0,359.5,343.0,352.65,2023-02-17,185527
355.1,355.1,341.2,343.4,2023-02-20,125332
339.5,344.0,326.0,327.8,2023-02-21,64683
325.4,337.95,323.05,328.85,2023-02-22,57062
330.1,339.95,330.1,337.2,2023-02-23,51687
339.95,339.95,324.2,325.85,2023-02-24,34151
323.1,342.0,323.1,332.65,2023-02-27,89462
332.05,335.2,318.8,329.45,2023-02-28,94632
331.0,339.0,331.0,336.8,2023-03-01,30369
337.0,341.75,330.0,331.9,2023-03-02,33573
331.0,340.5,331.0,334.75,2023-03-03,79920
335.9,352.0,335.2,344.3,2023-03-06,100149
350.5,377.5,349.0,372.95,2023-03-08,764382
380.35,380.35,360.0,364.4,2023-03-09,251726
364.4,373.8,358.0,363.8,2023-03-10,290493
368.9,368.9,353.0,355.5,2023-03-13,157462
360.45,360.45,351.0,358.9,2023-03-14,127543
365.3,366.0,351.5,354.2,2023-03-15,132032
359.2,371.0,341.6,367.75,2023-03-16,193776
370.0,376.0,360.1,365.55,2023-03-17,226521
367.9,386.0,362.7,381.45,2023-03-20,141608
386.0,386.8,370.8,373.45,2023-03-21,84313
377.2,399.0,372.8,395.0,2023-03-22,323927
393.0,398.0,377.95,379.8,2023-03-23,177653
382.35,403.65,381.5,388.15,2023-03-24,299665
391.6,396.95,378.0,381.1,2023-03-27,96968
382.0,388.95,375.8,379.2,2023-03-28,96407
377.25,407.0,377.25,400.65,2023-03-29,416414
405.8,406.45,394.3,397.2,2023-03-31,90186
399.35,402.1,388.55,393.95,2023-04-03,101997
400.0,423.5,395.2,418.6,2023-04-05,449096
419.0,421.95,411.1,414.05,2023-04-06,202256
414.0,420.2,412.35,413.6,2023-04-10,64393
416.8,428.95,414.75,425.45,2023-04-11,232306
426.4,431.6,406.1,409.65,2023-04-12,120125
409.0,414.0,400.2,411.0,2023-04-13,181630
411.35,415.85,402.15,403.05,2023-04-17,60352
404.7,406.7,390.3,394.35,2023-04-18,78019
394.35,407.2,394.35,398.4,2023-04-19,124703
399.8,400.0,386.2,389.15,2023-04-20,53391
394.9,394.9,380.05,384.8,2023-04-21,45648
387.95,394.15,385.1,390.5,2023-04-24,33567
394.0,394.0,384.35,386.75,2023-04-25,25603
381.05,388.25,381.05,382.75,2023-04-26,17110
379.1,386.0,358.4,366.9,2023-04-27,90926
355.55,376.0,353.9,366.8,2023-04-28,207112
366.95,372.25,356.1,360.35,2023-05-02,130103
363.55,378.95,361.35,378.25,2023-05-03,187068
380.0,387.4,375.4,378.55,2023-05-04,150986
378.8,379.7,365.55,366.95,2023-05-05,51919
366.95,389.9,365.05,378.85,2023-05-08,108378
384.55,401.5,384.4,399.15,2023-05-09,231589
400.8,404.05,391.1,392.6,2023-05-10,129512
395.0,398.0,386.95,396.15,2023-05-11,78326
399.0,399.0,386.75,388.0,2023-05-12,68452
388.0,419.4,385.3,416.6,2023-05-15,242759
423.75,424.9,406.2,418.6,2023-05-16,212129
419.45,419.45,401.1,403.75,2023-05-17,68127
404.7,416.6,403.75,411.4,2023-05-18,68275
414.95,415.1,402.5,404.65,2023-05-19,39175
412.9,412.9,389.9,393.1,2023-05-22,63958
395.1,403.45,389.05,399.7,2023-05-23,61736
401.0,407.95,395.45,404.5,2023-05-24,41985
407.4,425.2,403.7,414.15,2023-05-25,284143
213.0,225.0,210.0,214.0,2023-05-26,219589
212.0,216.35,208.5,211.05,2023-05-29,63924
210.0,214.0,208.0,211.7,2023-05-30,35098
211.7,211.75,205.1,207.95,2023-05-31,31953
207.95,211.95,207.8,210.3,2023-06-01,59886
210.3,213.65,206.0,208.6,2023-06-02,31926
211.0,215.45,207.1,210.0,2023-06-05,49005
212.05,214.75,208.65,213.55,2023-06-06,36316
214.9,222.55,213.0,216.05,2023-06-07,57494
217.8,219.0,213.2,214.65,2023-06-08,39480
213.95,214.5,205.2,208.25,2023-06-09,78373
209.0,210.3,198.4,200.8,2023-06-12,123946
200.5,203.0,196.45,201.7,2023-06-13,84403
201.7,204.9,196.65,198.85,2023-06-14,71913
198.1,200.4,195.1,195.45,2023-06-15,51642
197.4,199.35,195.1,195.45,2023-06-16,33807
198.5,198.5,190.05,191.65,2023-06-19,75600
191.0,201.6,191.0,199.4,2023-06-20,82059
198.0,200.65,195.0,195.55,2023-06-21,43791
193.45,196.9,191.05,192.55,2023-06-22,49378
191.0,194.45,187.75,188.7,2023-06-23,45591
188.15,191.55,186.0,187.15,2023-06-26,38756
185.7,193.65,185.7,192.45,2023-06-27,56626
194.0,198.0,194.0,195.8,2023-06-28,44600
198.95,198.95,187.85,188.5,2023-06-30,99766
189.95,194.95,188.0,190.9,2023-07-03,114293
191.0,192.5,186.1,190.2,2023-07-04,273040
188.3,193.1,185.0,188.45,2023-07-05,46611
188.0,193.35,187.9,191.15,2023-07-06,189254
191.15,193.0,188.5,189.85,2023-07-07,146437
189.85,192.95,189.5,189.9,2023-07-10,41842
190.05,197.0,189.5,191.05,2023-07-11,146588
191.8,192.95,186.8,188.55,2023-07-12,79595
189.5,191.4,185.0,186.25,2023-07-13,62537
187.5,189.5,185.85,188.0,2023-07-14,46969
188.85,190.95,188.3,190.6,2023-07-17,34842
190.65,191.5,186.5,187.25,2023-07-18,41551
186.8,194.55,186.5,191.65,2023-07-19,184122
192.95,195.55,189.3,190.5,2023-07-20,68378
189.2,192.95,188.0,188.6,2023-07-21,67605
188.6,190.3,186.85,187.4,2023-07-24,46240
187.9,192.6,186.5,187.6,2023-07-25,58914
188.0,194.05,187.75,193.35,2023-07-26,85782
195.0,195.0,185.9,186.3,2023-07-27,150958
188.15,188.15,184.0,184.65,2023-07-28,52061
185.5,186.55,185.25,185.5,2023-07-31,55385
188.0,188.2,184.6,185.1,2023-08-01,41049
185.35,191.8,184.0,188.2,2023-08-02,128737
184.0,191.5,180.65,188.0,2023-08-03,475516
188.0,189.15,183.7,187.65,2023-08-04,120607
188.9,189.45,181.65,185.5,2023-08-07,306793
183.75,189.75,183.0,185.0,2023-08-08,266069
186.5,186.65,182.0,183.3,2023-08-09,69498
