open,high,low,close,date,volume
257.65,261.6,253.65,256.5,2022-09-29,162610
258.6,259.3,250.7,255.25,2022-09-30,267153
255.25,256.6,250.0,250.8,2022-10-03,182498
255.0,259.0,252.65,255.9,2022-10-04,139248
258.0,272.0,255.1,267.0,2022-10-06,318545
269.0,281.0,268.75,278.4,2022-10-07,435644
273.05,277.9,269.05,272.8,2022-10-10,197879
271.45,274.4,263.0,265.4,2022-10-11,102418
264.05,267.2,259.0,264.55,2022-10-12,142101
263.0,266.35,260.2,261.9,2022-10-13,61636
265.0,268.0,260.0,261.4,2022-10-14,98056
260.0,263.9,256.0,257.25,2022-10-17,156918
261.0,266.25,258.95,260.45,2022-10-18,159970
261.7,270.5,260.8,269.35,2022-10-19,148542
268.6,276.55,265.0,274.9,2022-10-20,227653
275.0,276.05,266.0,268.45,2022-10-21,97220
267.0,270.0,265.0,266.4,2022-10-24,52836
268.3,269.85,262.0,263.8,2022-10-25,99516
263.8,268.0,260.5,262.35,2022-10-27,114027
265.0,268.4,262.8,264.7,2022-10-28,121686
264.0,270.45,262.0,263.8,2022-10-31,128339
265.8,267.5,261.55,263.9,2022-11-01,118705
265.9,272.25,264.85,266.95,2022-11-02,162444
265.0,269.05,264.2,266.9,2022-11-03,98871
266.9,269.0,262.5,264.8,2022-11-04,99900
268.0,274.15,265.05,270.85,2022-11-07,234955
274.2,275.0,267.8,273.6,2022-11-09,245186
273.6,281.9,271.0,276.25,2022-11-10,244851
278.7,279.7,272.5,277.95,2022-11-11,180411
287.9,297.0,282.4,292.3,2022-11-14,1001987
294.35,310.6,294.2,301.2,2022-11-15,1431276
302.0,308.6,295.95,306.1,2022-11-16,578318
308.25,316.7,304.1,313.4,2022-11-17,637133
315.9,322.0,313.4,317.8,2022-11-18,617322
317.0,317.5,303.0,304.7,2022-11-21,344818
304.7,305.3,300.05,302.25,2022-11-22,214675
304.7,311.65,302.85,306.8,2022-11-23,305120
308.9,314.85,308.25,311.9,2022-11-24,222127
314.4,316.9,306.05,311.0,2022-11-25,255444
318.9,329.0,317.55,324.15,2022-11-28,1014642
327.3,351.0,327.3,339.4,2022-11-29,2806321
340.9,349.75,336.8,345.35,2022-11-30,971295
348.0,348.1,330.1,334.45,2022-12-01,650688
333.0,339.7,325.1,326.6,2022-12-02,458685
327.0,339.0,326.8,336.45,2022-12-05,528984
337.0,342.0,334.45,335.7,2022-12-06,301058
336.25,336.3,329.0,331.55,2022-12-07,175257
334.15,344.95,331.35,340.05,2022-12-08,572930
342.2,348.0,328.95,334.1,2022-12-09,457863
340.55,375.0,338.05,368.95,2022-12-12,6460343
372.4,373.45,355.15,357.35,2022-12-13,872130
359.95,366.55,353.25,363.3,2022-12-14,666462
363.1,369.0,360.65,365.5,2022-12-15,533592
365.0,374.0,353.3,356.0,2022-12-16,847800
358.0,358.0,343.4,345.55,2022-12-19,387030
345.6,348.0,334.65,345.95,2022-12-20,376144
348.95,357.0,326.2,330.15,2022-12-21,729380
332.7,344.0,318.05,323.55,2022-12-22,490469
317.05,320.9,300.3,303.35,2022-12-23,660982
304.45,321.05,304.45,317.95,2022-12-26,451031
331.0,334.75,320.65,328.95,2022-12-27,872205
327.0,334.05,324.8,327.05,2022-12-28,297252
324.2,330.0,321.3,327.4,2022-12-29,161652
329.35,333.0,325.05,327.65,2022-12-30,138871
329.0,336.1,324.95,331.6,2023-01-02,256280
331.6,346.9,330.65,336.55,2023-01-03,679032
337.1,337.1,328.4,329.6,2023-01-04,182762
330.6,335.0,326.05,331.5,2023-01-05,188355
333.0,338.0,329.25,331.0,2023-01-06,239099
335.0,336.2,327.0,329.4,2023-01-09,308883
330.3,334.9,325.25,328.4,2023-01-10,244589
328.6,342.6,326.25,340.8,2023-01-11,497902
341.95,352.45,336.1,337.55,2023-01-12,637026
338.45,341.8,334.3,337.8,2023-01-13,197901
338.25,340.95,330.0,331.5,2023-01-16,177957
331.5,334.1,329.6,333.35,2023-01-17,114296
333.35,334.75,323.85,324.6,2023-01-18,205367
323.85,328.0,318.15,325.8,2023-01-19,150618
326.5,328.75,320.2,321.85,2023-01-20,161683
321.85,335.95,321.0,331.3,2023-01-23,280734
332.9,335.6,322.55,325.1,2023-01-24,192817
337.15,337.15,317.15,318.45,2023-01-25,207628
317.0,320.5,306.0,310.7,2023-01-27,271093
307.95,315.7,302.4,306.85,2023-01-30,186099
307.3,319.6,305.15,317.5,2023-01-31,194208
324.0,326.65,303.5,310.55,2023-02-01,246328
311.0,319.05,307.4,316.15,2023-02-02,169459
317.4,320.65,309.6,315.2,2023-02-03,176355
316.2,326.4,315.55,323.95,2023-02-06,212035
328.0,328.0,316.0,324.1,2023-02-07,139933
324.7,325.9,320.2,323.25,2023-02-08,126294
320.5,327.2,320.25,324.0,2023-02-09,165793
