open,high,low,close,date,volume
7400.0,7449.95,7290.0,7343.75,2022-09-29,386
7318.0,7446.5,7314.35,7431.4,2022-09-30,181
7599.0,7599.0,7371.95,7401.1,2022-10-03,108
7527.95,7527.95,7366.05,7410.5,2022-10-04,176
7528.0,7528.0,7341.95,7400.35,2022-10-06,393
7400.35,7499.0,7383.0,7475.55,2022-10-07,267
7476.0,7549.0,7415.0,7520.8,2022-10-10,374
7525.0,7541.95,7390.0,7460.6,2022-10-11,154
7541.95,7749.9,7402.55,7662.45,2022-10-12,443
7750.0,7790.95,7570.55,7661.75,2022-10-13,381
7747.75,7747.9,7600.0,7632.95,2022-10-14,277
7610.0,7700.0,7552.0,7596.05,2022-10-17,404
7564.95,7644.95,7480.0,7531.95,2022-10-18,127
7578.0,8339.95,7480.0,8010.9,2022-10-19,5407
8180.0,8180.0,7856.15,7943.6,2022-10-20,1229
7943.6,8141.0,7820.1,7867.85,2022-10-21,379
7867.0,8099.9,7730.1,7966.6,2022-10-24,166
7905.9,7905.9,7712.25,7842.45,2022-10-25,630
7850.0,8024.95,7725.0,7774.9,2022-10-27,371
7726.7,7771.9,7624.0,7638.45,2022-10-28,321
7632.05,7727.95,7308.0,7471.05,2022-10-31,659
7728.0,7728.0,7591.05,7662.6,2022-11-01,355
7713.15,7773.6,7551.0,7689.4,2022-11-02,421
7601.0,7734.95,7601.0,7682.65,2022-11-03,219
7682.65,7735.0,7601.0,7659.2,2022-11-04,268
7735.0,7999.0,7721.5,7984.3,2022-11-07,1506
7904.3,7999.8,7904.3,7990.8,2022-11-09,283
7990.8,7990.8,7757.0,7803.25,2022-11-10,356
7945.0,7945.0,7840.05,7934.5,2022-11-11,246
8000.0,8000.0,7834.15,7921.95,2022-11-14,178
7904.1,7980.0,7897.3,7945.9,2022-11-15,216
7994.6,7994.6,7800.15,7956.0,2022-11-16,295
7997.0,8109.0,7830.0,8021.6,2022-11-17,1124
8086.95,8086.95,7821.6,7973.7,2022-11-18,870
8040.0,8288.0,7976.0,8247.7,2022-11-21,1638
8247.0,8340.0,8129.95,8262.45,2022-11-22,889
8275.0,8299.85,8096.05,8216.8,2022-11-23,820
8166.95,8332.0,8096.65,8264.85,2022-11-24,854
8331.55,8332.0,8169.15,8190.85,2022-11-25,809
8249.0,8500.0,8111.05,8443.75,2022-11-28,1676
8381.0,8665.0,8243.75,8419.0,2022-11-29,1867
8334.8,8500.05,8334.8,8393.05,2022-11-30,694
8356.9,8424.8,8265.05,8290.95,2022-12-01,332
8280.0,8338.3,8158.0,8205.05,2022-12-02,603
8180.0,8261.9,8121.0,8129.45,2022-12-05,629
8101.5,8179.95,8020.0,8024.55,2022-12-06,525
8024.55,8024.85,7830.1,7926.65,2022-12-07,618
7990.0,8000.0,7929.25,7977.15,2022-12-08,397
8025.0,8040.95,7925.05,7963.6,2022-12-09,324
7940.0,8014.9,7914.0,7932.5,2022-12-12,246
7917.45,7989.9,7914.0,7973.9,2022-12-13,412
7974.4,7990.0,7914.0,7944.9,2022-12-14,5841
7984.95,7985.0,7824.25,7882.3,2022-12-15,218
7825.0,7924.9,7804.5,7899.0,2022-12-16,579
7860.05,7951.45,7720.0,7745.4,2022-12-19,986
7745.4,7798.95,7575.0,7627.1,2022-12-20,725
7575.0,7664.9,7400.0,7442.8,2022-12-21,520
7509.05,7665.0,7320.0,7374.6,2022-12-22,412
7320.0,7369.25,7185.0,7215.0,2022-12-23,232
7017.0,7345.0,7017.0,7290.95,2022-12-26,834
7300.0,7370.0,7218.05,7337.25,2022-12-27,453
7334.95,7394.9,7255.0,7392.7,2022-12-28,287
7264.65,7394.95,7233.25,7343.35,2022-12-29,656
7398.95,7433.0,7308.05,7400.35,2022-12-30,366
7570.0,7570.0,7413.95,7495.45,2023-01-02,365
7460.0,7539.0,7360.2,7390.6,2023-01-03,495
7460.0,7497.95,7350.0,7402.55,2023-01-04,273
