open,high,low,close,date,volume
691.95,706.25,683.75,696.6,2022-09-29,122248
696.3,728.65,684.95,718.4,2022-09-30,310687
728.0,728.0,700.0,718.35,2022-10-03,121776
726.0,731.05,716.4,719.05,2022-10-04,133426
722.45,738.05,707.95,720.95,2022-10-06,117064
724.4,736.85,702.1,731.1,2022-10-07,118080
727.0,740.85,707.0,729.75,2022-10-10,371508
733.4,733.8,711.0,718.8,2022-10-11,488477
727.7,728.45,706.0,719.2,2022-10-12,60038
718.75,726.55,713.0,721.55,2022-10-13,169980
725.2,735.6,706.05,710.5,2022-10-14,52565
710.0,736.4,707.0,729.45,2022-10-17,194397
731.0,772.0,719.1,755.95,2022-10-18,538598
755.0,786.5,746.9,762.5,2022-10-19,248799
759.75,780.0,754.7,759.35,2022-10-20,237237
762.9,766.45,737.9,744.95,2022-10-21,52249
751.45,766.0,747.0,755.15,2022-10-24,23404
755.0,773.5,744.0,750.25,2022-10-25,120412
756.9,761.95,706.55,724.8,2022-10-27,111541
728.45,734.85,715.1,725.7,2022-10-28,48837
723.7,754.85,712.55,747.8,2022-10-31,80932
749.0,767.55,736.0,742.05,2022-11-01,78978
743.0,784.8,740.8,763.5,2022-11-02,1571074
766.0,770.6,756.0,763.05,2022-11-03,384773
765.9,784.95,753.2,759.7,2022-11-04,219176
763.5,800.0,761.8,791.65,2022-11-07,368334
796.0,811.85,756.0,780.6,2022-11-09,276171
784.55,788.65,765.0,771.2,2022-11-10,354203
786.0,786.3,745.8,758.6,2022-11-11,211949
762.4,784.5,755.05,774.4,2022-11-14,236562
778.3,782.5,764.0,772.25,2022-11-15,286652
772.25,782.7,762.0,773.25,2022-11-16,32755
775.0,777.55,761.0,764.15,2022-11-17,45253
764.15,772.1,750.05,755.15,2022-11-18,68636
755.15,760.85,743.0,755.4,2022-11-21,270104
752.5,761.0,747.0,752.6,2022-11-22,36099
753.05,760.0,739.0,757.35,2022-11-23,152089
759.4,774.8,754.2,756.55,2022-11-24,644699
758.0,766.0,720.0,742.75,2022-11-25,56834
735.0,753.75,732.0,739.9,2022-11-28,91949
743.0,743.0,721.0,724.65,2022-11-29,140673
723.0,749.9,721.55,724.9,2022-11-30,265719
728.0,758.05,713.25,718.65,2022-12-01,296354
741.0,750.0,715.05,719.6,2022-12-02,591768
729.8,744.95,721.55,739.9,2022-12-05,151058
744.9,815.55,744.7,784.3,2022-12-06,1456484
782.0,799.0,767.1,775.05,2022-12-07,433452
775.8,785.0,751.0,754.8,2022-12-08,179179
757.9,763.1,715.6,739.7,2022-12-09,422983
739.9,757.0,725.0,728.9,2022-12-12,144055
734.7,749.0,726.2,740.5,2022-12-13,134536
742.05,775.0,740.5,770.5,2022-12-14,198620
774.35,788.0,753.65,762.15,2022-12-15,284068
760.55,780.0,752.55,771.45,2022-12-16,130296
782.4,782.4,771.0,777.25,2022-12-19,98219
772.0,782.0,770.05,776.5,2022-12-20,245431
776.5,790.25,741.0,753.4,2022-12-21,301902
760.8,773.0,747.65,768.95,2022-12-22,175014
768.95,781.25,743.2,749.3,2022-12-23,193808
750.95,774.9,745.05,762.65,2022-12-26,192131
760.0,802.0,760.0,783.1,2022-12-27,302557
786.2,788.3,770.05,774.95,2022-12-28,73701
773.0,783.95,768.0,778.55,2022-12-29,368978
787.2,803.45,783.05,789.6,2022-12-30,149898
780.5,800.4,770.25,773.9,2023-01-02,106897
774.0,785.3,760.55,763.45,2023-01-03,84533
767.0,772.7,743.05,763.0,2023-01-04,110684
774.3,778.55,769.0,772.8,2023-01-05,136885
772.8,774.65,757.55,769.2,2023-01-06,64941
776.5,776.5,755.5,761.05,2023-01-09,478847
770.0,774.8,751.25,758.55,2023-01-10,272980
768.0,769.0,746.9,752.2,2023-01-11,387223
752.45,755.7,741.55,743.8,2023-01-12,93205
742.0,746.25,720.0,723.7,2023-01-13,208392
724.45,725.85,685.0,695.0,2023-01-16,193877
695.1,703.4,685.05,699.95,2023-01-17,159134
702.1,719.0,678.0,707.65,2023-01-18,556070
712.0,714.95,698.9,700.6,2023-01-19,69495
698.25,704.75,687.25,693.7,2023-01-20,73244
693.9,694.0,677.0,681.15,2023-01-23,52097
686.0,719.7,684.1,712.3,2023-01-24,249127
718.0,718.8,699.2,712.7,2023-01-25,73260
713.85,719.7,686.8,712.75,2023-01-27,123290
711.65,711.65,678.45,690.8,2023-01-30,185292
699.95,744.7,689.0,735.4,2023-01-31,580592
727.0,734.9,683.45,698.55,2023-02-01,400976
702.0,705.0,686.35,696.05,2023-02-02,152400
699.95,699.95,681.2,691.05,2023-02-03,91955
688.25,706.9,681.0,694.6,2023-02-06,133731
695.5,709.4,695.0,699.65,2023-02-07,328583
704.8,711.85,687.4,692.55,2023-02-08,167589
692.5,718.65,692.5,711.25,2023-02-09,98038
709.4,712.45,689.1,692.8,2023-02-10,92350
693.7,697.45,682.1,686.85,2023-02-13,158297
686.5,692.0,677.4,682.4,2023-02-14,117984
684.0,690.0,670.8,681.2,2023-02-15,383708
685.0,705.45,685.0,689.65,2023-02-16,68513
688.4,692.2,673.5,676.65,2023-02-17,178063
679.0,684.8,661.5,666.2,2023-02-20,87222
664.15,684.8,650.5,681.05,2023-02-21,186234
685.0,685.0,653.35,656.2,2023-02-22,270615
661.5,678.4,656.8,673.2,2023-02-23,85656
671.2,684.9,666.0,667.95,2023-02-24,131897
668.9,668.9,650.05,653.95,2023-02-27,125614
659.4,671.5,639.3,648.7,2023-02-28,252605
649.3,661.0,642.6,647.85,2023-03-01,764655
643.0,686.45,643.0,678.25,2023-03-02,243935
676.1,697.7,666.6,671.05,2023-03-03,137101
672.25,676.7,665.05,668.6,2023-03-06,54209
668.5,680.35,663.5,677.0,2023-03-08,109345
677.0,681.6,669.1,671.95,2023-03-09,51590
680.95,680.95,668.05,670.25,2023-03-10,57598
668.0,676.95,666.95,671.45,2023-03-13,50197
674.55,674.55,660.0,663.1,2023-03-14,62816
663.1,673.0,661.25,669.95,2023-03-15,63429
669.95,685.85,668.15,682.15,2023-03-16,60982
685.0,692.55,680.15,687.75,2023-03-17,49645
700.0,721.0,669.65,687.8,2023-03-20,64153
687.0,693.35,675.0,678.55,2023-03-21,56189
679.3,697.35,669.6,690.55,2023-03-22,93669
688.05,695.85,674.4,689.35,2023-03-23,108907
685.05,697.9,676.5,681.8,2023-03-24,55001
681.15,683.55,658.0,670.1,2023-03-27,88904
674.3,679.95,665.7,668.55,2023-03-28,67467
669.95,676.2,662.05,669.8,2023-03-29,180605
672.65,696.0,670.85,683.35,2023-03-31,288212
684.3,693.0,674.6,690.2,2023-04-03,78193
690.2,755.0,687.3,719.65,2023-04-05,187310
725.0,727.2,705.2,720.05,2023-04-06,178674
720.0,729.65,713.0,724.4,2023-04-10,30277
727.3,727.3,695.6,702.75,2023-04-11,69355
708.45,720.3,695.15,701.5,2023-04-12,89981
703.0,707.9,696.2,702.2,2023-04-13,38807
714.0,750.0,697.0,725.7,2023-04-17,222516
725.65,725.65,705.55,706.55,2023-04-18,59311
706.05,712.85,683.0,685.0,2023-04-19,92152
689.0,690.25,677.6,682.5,2023-04-20,44646
686.0,705.0,675.0,701.55,2023-04-21,127519
706.0,756.5,703.0,730.7,2023-04-24,510019
734.95,743.05,724.1,738.8,2023-04-25,96727
726.0,743.3,722.2,740.15,2023-04-26,82074
745.0,746.0,739.75,741.55,2023-04-27,33975
741.1,773.95,737.15,764.25,2023-04-28,105906
764.05,792.8,742.4,778.45,2023-05-02,273653
778.0,789.4,760.1,764.9,2023-05-03,261439
760.0,790.0,754.8,781.85,2023-05-04,161145
781.0,807.0,762.2,769.25,2023-05-05,156991
761.2,800.0,761.2,796.3,2023-05-08,123019
802.5,803.05,760.0,768.35,2023-05-09,261741
769.0,783.35,763.4,773.5,2023-05-10,189064
776.15,776.15,756.0,760.75,2023-05-11,134067
763.9,777.0,756.55,763.6,2023-05-12,86447
760.0,764.8,747.35,756.25,2023-05-15,66921
756.0,765.3,753.0,757.8,2023-05-16,54431
762.0,765.8,747.1,760.55,2023-05-17,42458
745.05,778.9,745.05,759.1,2023-05-18,144041
750.0,754.55,733.3,738.7,2023-05-19,127898
742.0,744.45,712.9,719.85,2023-05-22,182064
730.0,741.45,720.5,733.45,2023-05-23,141374
742.0,744.0,728.75,732.45,2023-05-24,126828
744.0,770.0,733.2,765.45,2023-05-25,177984
765.25,770.0,752.4,766.15,2023-05-26,122695
770.0,782.0,761.85,765.05,2023-05-29,130888
765.05,775.0,765.05,771.25,2023-05-30,44985
771.25,786.65,767.15,771.05,2023-05-31,151573
776.5,852.0,772.05,828.5,2023-06-01,1044333
844.0,851.9,823.1,826.65,2023-06-02,270193
835.75,849.9,827.05,834.95,2023-06-05,465247
840.0,840.0,829.0,834.6,2023-06-06,70567
840.05,866.7,825.25,841.9,2023-06-07,433529
846.5,846.5,806.7,813.75,2023-06-08,137302
812.55,859.35,802.55,825.75,2023-06-09,325078
838.0,838.75,811.3,815.35,2023-06-12,89201
824.35,835.0,816.1,834.0,2023-06-13,128844
835.0,862.0,825.0,851.5,2023-06-14,187143
851.5,855.0,835.0,840.9,2023-06-15,92522
840.9,847.95,824.75,826.5,2023-06-16,93768
840.0,875.35,835.0,854.3,2023-06-19,475987
856.0,875.0,855.9,869.15,2023-06-20,182578
866.2,878.45,846.05,850.5,2023-06-21,106089
869.0,869.0,842.15,852.35,2023-06-22,38677
852.35,869.9,832.6,844.8,2023-06-23,95516
848.0,877.95,844.0,850.9,2023-06-26,156159
858.0,867.95,846.05,855.25,2023-06-27,91636
865.0,865.0,854.0,861.4,2023-06-28,42881
862.2,868.0,848.0,855.85,2023-06-30,113215
860.95,866.5,842.45,845.3,2023-07-03,111478
852.95,855.0,841.2,852.5,2023-07-04,40513
860.95,864.15,851.05,862.15,2023-07-05,89008
861.2,888.65,852.2,864.15,2023-07-06,240989
865.0,870.1,847.1,866.2,2023-07-07,115002
867.4,869.5,852.5,861.35,2023-07-10,46723
862.1,893.25,862.1,877.7,2023-07-11,383461
880.2,890.0,872.0,884.55,2023-07-12,96450
890.0,910.0,885.05,898.55,2023-07-13,146148
905.0,914.7,875.0,886.0,2023-07-14,124697
882.5,921.35,881.4,912.3,2023-07-17,136359
909.95,914.95,895.35,898.45,2023-07-18,56769
900.15,905.0,870.2,880.45,2023-07-19,79759
881.05,904.15,881.05,887.45,2023-07-20,108716
887.45,911.0,885.25,891.0,2023-07-21,130395
890.0,899.9,881.2,885.25,2023-07-24,62962
886.6,914.45,886.6,901.8,2023-07-25,121213
901.8,901.8,882.0,884.7,2023-07-26,63258
886.0,939.0,886.0,898.2,2023-07-27,406012
901.4,966.9,895.25,939.5,2023-07-28,1293738
950.05,953.5,931.5,936.15,2023-07-31,124665
936.15,965.9,936.15,942.2,2023-08-01,196836
948.0,950.0,911.6,928.5,2023-08-02,87431
925.0,946.95,915.0,919.75,2023-08-03,94746
919.75,933.5,915.0,929.8,2023-08-04,55790
929.8,953.0,929.8,934.05,2023-08-07,103542
951.25,951.3,915.3,924.45,2023-08-08,324516
929.9,929.9,910.5,917.7,2023-08-09,212485
924.0,938.25,915.3,926.75,2023-08-10,67102
922.95,935.0,918.0,930.7,2023-08-11,33638
930.7,946.4,917.0,928.85,2023-08-14,85097
927.8,945.0,915.2,919.45,2023-08-16,163789
920.05,941.0,915.2,927.1,2023-08-17,77057
927.1,933.4,918.1,922.2,2023-08-18,157273
925.0,935.0,910.45,915.7,2023-08-21,101975
921.9,921.9,905.35,912.05,2023-08-22,242197
926.0,927.95,909.1,921.5,2023-08-23,83525
924.05,926.4,897.0,900.35,2023-08-24,83684
900.35,909.05,893.95,898.2,2023-08-25,104781
902.0,912.8,895.2,898.8,2023-08-28,86149
898.85,906.95,896.1,901.05,2023-08-29,37981
901.95,944.95,901.95,938.3,2023-08-30,140702
940.9,993.0,905.25,938.25,2023-08-31,426738
943.0,977.0,938.3,965.75,2023-09-01,162298
972.0,978.7,941.0,945.1,2023-09-04,75748
946.0,992.0,942.55,973.0,2023-09-05,350831
977.95,985.0,952.0,955.85,2023-09-06,187849
965.0,989.0,954.0,977.95,2023-09-07,254519
977.95,1024.95,961.4,982.05,2023-09-08,287507
986.0,986.0,960.0,969.2,2023-09-11,337841
969.2,977.0,949.6,968.75,2023-09-12,291573
978.6,984.55,944.5,975.6,2023-09-13,135520
965.0,985.0,964.05,978.5,2023-09-14,135646
982.0,997.85,971.85,985.05,2023-09-15,411137
988.0,994.2,972.85,979.65,2023-09-18,63388
972.85,985.6,957.2,967.8,2023-09-20,50186
969.9,974.05,945.45,947.6,2023-09-21,49919
947.6,970.7,945.65,955.55,2023-09-22,67073
954.8,983.9,949.35,979.6,2023-09-25,338711
987.9,992.55,958.5,988.95,2023-09-26,210918
999.95,1000.0,964.55,969.25,2023-09-27,397677
974.9,975.7,955.45,960.95,2023-09-28,30979
967.5,969.6,923.25,934.85,2023-09-29,184414
955.0,974.95,933.15,968.7,2023-10-03,115624
965.0,968.8,950.0,958.4,2023-10-04,142360
961.6,964.45,941.2,949.0,2023-10-05,29637
949.0,962.0,945.0,954.55,2023-10-06,103215
942.3,948.25,925.0,935.85,2023-10-09,177279
936.05,948.95,933.8,939.95,2023-10-10,81131
954.0,954.05,927.0,928.5,2023-10-11,51496
