open,high,low,close,date,volume
236.25,237.85,229.0,230.3,2022-09-29,17591
230.3,236.55,228.9,234.15,2022-09-30,27756
232.0,243.05,231.05,238.1,2022-10-03,32242
239.5,243.55,237.0,237.55,2022-10-04,14279
241.05,242.25,237.0,238.25,2022-10-06,15987
238.5,244.8,238.3,243.5,2022-10-07,32615
243.1,243.1,237.0,238.35,2022-10-10,13619
239.2,241.3,232.15,233.35,2022-10-11,10892
234.8,236.1,230.55,231.3,2022-10-12,11930
232.3,233.15,227.1,230.1,2022-10-13,27308
234.1,239.9,233.05,235.5,2022-10-14,27134
234.75,238.85,233.4,235.1,2022-10-17,13911
238.2,238.2,233.1,234.2,2022-10-18,18403
234.2,238.85,233.0,234.05,2022-10-19,13729
233.45,236.95,233.0,233.9,2022-10-20,8691
234.95,235.65,228.0,228.7,2022-10-21,24117
232.05,238.3,229.0,234.8,2022-10-24,11724
235.95,236.1,212.0,221.95,2022-10-25,316902
226.25,226.4,222.25,224.25,2022-10-27,25078
225.35,226.0,223.05,223.95,2022-10-28,20236
222.1,243.5,222.1,226.15,2022-10-31,26586
226.2,228.65,225.4,226.5,2022-11-01,16319
227.15,232.0,227.1,230.95,2022-11-02,25664
228.0,248.0,228.0,237.4,2022-11-03,254942
241.45,248.0,236.0,242.9,2022-11-04,95715
249.95,257.5,245.15,253.35,2022-11-07,157171
258.95,259.5,250.35,253.1,2022-11-09,194138
250.0,252.3,244.05,245.4,2022-11-10,48427
250.0,253.45,239.1,243.6,2022-11-11,89139
242.25,243.6,235.85,239.45,2022-11-14,51664
240.95,245.0,238.8,243.05,2022-11-15,22149
243.05,243.1,240.0,240.2,2022-11-16,25882
242.0,244.0,239.7,242.6,2022-11-17,21051
244.45,245.4,242.8,244.6,2022-11-18,42789
245.3,251.0,244.0,245.0,2022-11-21,70606
244.75,246.7,243.25,245.0,2022-11-22,22259
244.2,255.55,244.2,253.75,2022-11-23,69433
256.0,260.9,255.1,259.75,2022-11-24,185634
265.0,269.75,259.55,264.35,2022-11-25,195865
267.25,268.95,260.25,263.35,2022-11-28,60368
262.35,264.4,258.25,260.15,2022-11-29,40767
262.45,267.7,261.8,263.8,2022-11-30,63775
266.7,266.7,261.1,261.95,2022-12-01,31762
262.95,263.55,260.1,261.95,2022-12-02,23316
259.35,264.8,259.35,263.25,2022-12-05,29681
263.25,265.35,258.5,259.3,2022-12-06,31713
260.1,261.75,257.1,257.6,2022-12-07,18000
257.6,260.7,257.0,259.2,2022-12-08,21063
259.2,262.15,255.0,256.5,2022-12-09,59929
259.8,259.8,255.05,257.0,2022-12-12,15825
257.0,259.0,255.9,257.1,2022-12-13,21227
258.8,262.95,256.0,257.85,2022-12-14,30987
257.85,258.3,252.7,254.8,2022-12-15,74977
