open,high,low,close,date,volume
378.0,383.0,365.9,374.05,2022-09-29,185290
374.8,384.9,367.6,379.2,2022-09-30,141159
381.65,381.65,365.05,367.45,2022-10-03,124166
373.7,374.85,366.0,367.6,2022-10-04,229955
370.0,372.1,365.0,368.2,2022-10-06,160450
369.45,383.35,366.0,376.1,2022-10-07,260554
377.75,382.2,372.0,373.75,2022-10-10,174510
374.9,376.7,364.5,367.3,2022-10-11,97098
373.3,373.85,357.05,362.55,2022-10-12,141631
364.4,375.5,363.0,372.05,2022-10-13,137056
377.9,377.9,368.15,370.75,2022-10-14,85814
364.05,368.0,360.9,364.35,2022-10-17,72573
367.0,367.8,363.0,363.75,2022-10-18,76646
364.0,368.75,356.25,365.1,2022-10-19,114798
364.8,364.8,352.1,354.05,2022-10-20,146964
355.7,355.8,342.15,344.4,2022-10-21,200364
345.1,373.6,345.0,363.45,2022-10-24,68403
364.0,367.85,356.6,361.1,2022-10-25,133218
361.1,363.3,350.05,351.8,2022-10-27,169866
351.8,355.25,348.0,349.9,2022-10-28,60310
353.0,353.0,342.7,344.55,2022-10-31,89879
347.0,351.4,340.0,344.25,2022-11-01,121689
347.8,351.4,341.45,343.3,2022-11-02,100367
343.3,353.0,341.0,344.85,2022-11-03,76281
347.4,356.7,344.65,347.6,2022-11-04,82216
348.9,363.8,347.8,362.1,2022-11-07,264420
365.5,365.75,323.65,354.4,2022-11-09,1406603
351.0,378.35,340.95,371.8,2022-11-10,645681
375.9,375.9,352.4,356.1,2022-11-11,177211
363.0,363.0,347.25,350.55,2022-11-14,102310
352.0,358.1,347.1,353.85,2022-11-15,198655
353.95,359.7,343.3,345.9,2022-11-16,109490
345.9,350.9,343.0,344.15,2022-11-17,47929
346.9,355.0,343.6,354.4,2022-11-18,82010
350.0,368.95,347.15,366.7,2022-11-21,169739
368.5,369.15,358.0,362.9,2022-11-22,56159
367.6,375.95,362.0,374.0,2022-11-23,132691
374.0,375.5,363.45,367.5,2022-11-24,69853
367.5,372.75,361.2,363.95,2022-11-25,70359
357.0,367.05,356.8,359.05,2022-11-28,46211
356.0,372.0,356.0,371.05,2022-11-29,103056
372.0,398.0,368.55,388.8,2022-11-30,564116
387.95,388.9,382.55,384.4,2022-12-01,105140
379.3,393.0,375.3,379.35,2022-12-02,143873
380.0,382.4,373.75,377.95,2022-12-05,79304
377.95,379.9,370.55,371.6,2022-12-06,60853
377.9,377.9,367.05,370.5,2022-12-07,44385
371.9,377.4,371.2,375.8,2022-12-08,43087
382.5,382.5,367.2,373.75,2022-12-09,64187
370.0,382.45,365.0,367.85,2022-12-12,43859
370.85,377.95,367.6,375.65,2022-12-13,65013
