open,high,low,close,date,volume
136.95,145.0,132.0,132.95,2022-09-29,156585
133.5,139.2,130.15,132.4,2022-09-30,53926
134.0,134.7,120.8,124.6,2022-10-03,45245
126.0,130.45,126.0,127.65,2022-10-04,19778
129.95,129.95,124.15,124.95,2022-10-06,21532
125.0,129.7,125.0,127.25,2022-10-07,32205
128.35,128.35,121.1,122.95,2022-10-10,16861
123.5,126.9,121.0,121.55,2022-10-11,20831
119.0,124.3,119.0,121.4,2022-10-12,13430
123.0,123.0,119.2,119.8,2022-10-13,13039
122.45,123.0,113.95,115.7,2022-10-14,47196
115.7,125.05,115.25,121.8,2022-10-17,53999
126.0,126.0,119.35,120.35,2022-10-18,15780
123.45,123.45,113.55,116.8,2022-10-19,34668
119.8,121.8,116.8,118.8,2022-10-20,15255
120.8,120.8,115.1,117.15,2022-10-21,22624
121.0,121.7,119.4,120.55,2022-10-24,4096
120.9,120.9,115.7,116.95,2022-10-25,17086
116.0,119.0,115.1,115.6,2022-10-27,10512
118.0,118.0,115.15,115.95,2022-10-28,8032
118.75,118.75,115.0,115.3,2022-10-31,10005
115.3,118.3,114.0,115.2,2022-11-01,11686
114.7,115.9,113.65,114.55,2022-11-02,6648
114.5,115.5,112.85,114.05,2022-11-03,14866
115.7,118.9,114.1,115.85,2022-11-04,10725
118.0,118.1,115.0,115.25,2022-11-07,11980
115.6,117.1,112.4,112.95,2022-11-09,14931
112.95,115.1,111.0,111.7,2022-11-10,10449
113.95,115.0,110.1,111.6,2022-11-11,18359
111.6,115.9,110.2,114.95,2022-11-14,11189
115.9,115.9,111.75,112.95,2022-11-15,6163
115.4,115.4,105.1,106.95,2022-11-16,38226
106.2,108.95,105.15,107.9,2022-11-17,11403
107.9,109.3,106.45,108.5,2022-11-18,10590
109.95,110.0,106.1,106.9,2022-11-21,6707
108.85,111.55,108.0,109.35,2022-11-22,15657
110.0,113.35,109.2,110.85,2022-11-23,11340
112.4,112.4,109.3,110.05,2022-11-24,5537
111.9,111.9,107.0,108.9,2022-11-25,7230
110.7,113.3,109.05,111.3,2022-11-28,7444
110.0,116.5,110.0,111.7,2022-11-29,11912
111.8,113.95,111.25,113.0,2022-11-30,11344
114.8,115.0,112.05,114.0,2022-12-01,14183
114.4,116.0,111.0,113.2,2022-12-02,16680
116.0,116.0,110.25,115.1,2022-12-05,12525
115.25,116.0,114.0,115.05,2022-12-06,8289
115.05,115.45,113.0,113.85,2022-12-07,4995
115.0,115.0,111.4,112.1,2022-12-08,12596
112.1,113.9,104.7,109.2,2022-12-09,39672
110.35,111.8,107.2,107.85,2022-12-12,11033
110.5,125.9,108.25,119.45,2022-12-13,149110
122.0,124.8,117.0,117.95,2022-12-14,66756
119.85,119.85,114.35,116.6,2022-12-15,30568
119.25,119.25,112.75,114.45,2022-12-16,12270
114.45,116.6,113.4,114.3,2022-12-19,5347
113.15,116.85,113.0,116.4,2022-12-20,7195
117.75,117.75,108.0,111.9,2022-12-21,13082
114.85,114.85,105.85,107.2,2022-12-22,23077
105.25,106.7,99.0,99.8,2022-12-23,25034
99.8,107.1,99.25,106.3,2022-12-26,22060
