open,high,low,close,date,volume
513.05,529.95,503.05,517.15,2022-09-29,6034
518.0,557.4,515.1,546.9,2022-09-30,9305
549.9,559.95,505.3,514.55,2022-10-03,9133
520.0,533.8,516.65,527.5,2022-10-04,9054
527.9,547.85,524.25,535.85,2022-10-06,3037
543.1,544.0,515.0,522.9,2022-10-07,2324
530.65,530.65,508.0,513.7,2022-10-10,2562
511.45,521.25,501.1,505.5,2022-10-11,3767
513.0,525.0,506.25,519.55,2022-10-12,2867
514.0,527.05,511.6,520.85,2022-10-13,3493
519.9,520.0,506.0,511.15,2022-10-14,3918
509.0,520.0,500.0,520.0,2022-10-17,4520
520.0,524.85,512.05,522.45,2022-10-18,1529
529.85,529.85,512.55,519.05,2022-10-19,5661
518.75,518.95,505.2,515.9,2022-10-20,2027
511.9,524.95,509.5,513.65,2022-10-21,5482
515.0,523.15,509.0,516.95,2022-10-24,1236
524.6,524.6,510.0,511.5,2022-10-25,1003
510.0,539.95,510.0,513.9,2022-10-27,9914
518.8,524.9,510.0,521.0,2022-10-28,4599
523.95,539.0,519.25,531.0,2022-10-31,7701
527.0,539.0,518.0,522.3,2022-11-01,2682
519.9,545.95,519.25,540.5,2022-11-02,12147
539.9,559.0,529.15,532.2,2022-11-03,45973
532.2,538.55,528.05,530.05,2022-11-04,35335
527.25,542.3,519.25,527.35,2022-11-07,10756
525.0,539.15,515.0,518.2,2022-11-09,5514
511.0,514.95,462.55,474.75,2022-11-10,20795
472.05,485.4,465.05,472.5,2022-11-11,60143
479.55,533.9,468.0,499.65,2022-11-14,56711
504.9,504.9,480.0,482.8,2022-11-15,1940
485.0,489.75,470.2,473.5,2022-11-16,3091
471.0,494.0,462.2,484.3,2022-11-17,6813
470.8,488.0,469.0,482.0,2022-11-18,7404
485.35,489.5,478.0,485.3,2022-11-21,1653
479.9,489.9,462.5,480.1,2022-11-22,3036
487.25,564.0,482.3,490.15,2022-11-23,237316
504.9,508.0,492.0,499.1,2022-11-24,8977
495.2,502.35,494.65,499.7,2022-11-25,2930
507.75,507.75,494.0,498.05,2022-11-28,8519
498.0,514.0,492.85,504.55,2022-11-29,5105
505.5,510.35,487.75,506.2,2022-11-30,11190
510.0,513.75,501.3,502.85,2022-12-01,4930
498.05,506.0,497.5,500.1,2022-12-02,5145
500.25,511.95,500.0,507.55,2022-12-05,9719
514.75,516.0,500.5,502.65,2022-12-06,7442
500.2,509.0,500.2,500.7,2022-12-07,5660
507.15,507.65,497.75,499.9,2022-12-08,5296
496.4,507.0,482.0,497.05,2022-12-09,7259
504.45,506.95,487.0,489.85,2022-12-12,3606
497.15,504.0,486.7,499.7,2022-12-13,3700
492.25,569.0,490.5,543.35,2022-12-14,81497
536.0,541.55,520.55,525.4,2022-12-15,1510
525.4,525.4,500.0,503.45,2022-12-16,2164
504.5,512.95,497.0,499.7,2022-12-19,7071
504.65,504.65,494.0,495.95,2022-12-20,3946
495.0,507.75,480.0,493.5,2022-12-21,6406
489.0,501.1,474.0,481.2,2022-12-22,4607
484.75,490.1,450.55,459.1,2022-12-23,7763
467.05,486.7,456.05,462.0,2022-12-26,11344
471.15,479.9,468.8,473.05,2022-12-27,3380
476.85,540.0,472.05,513.35,2022-12-28,44011
513.35,513.35,500.95,510.0,2022-12-29,5955
506.0,522.95,500.0,517.35,2022-12-30,9637
509.65,561.0,503.05,550.9,2023-01-02,34537
569.0,569.0,531.2,541.3,2023-01-03,10158
540.5,540.5,522.0,525.7,2023-01-04,2812
518.05,534.95,514.45,527.05,2023-01-05,5357
530.0,540.9,525.1,533.25,2023-01-06,2568
539.0,539.0,512.2,514.8,2023-01-09,2504
515.0,527.7,512.35,521.5,2023-01-10,3206
524.95,546.95,523.05,533.45,2023-01-11,12215
539.85,540.0,531.5,533.35,2023-01-12,1826
527.8,538.0,527.3,535.35,2023-01-13,2316
534.75,544.95,531.25,532.0,2023-01-16,2585
531.5,534.4,493.65,531.05,2023-01-17,11000
535.0,535.0,525.0,529.65,2023-01-18,1509
524.75,546.8,524.7,541.8,2023-01-19,4647
531.05,548.8,530.0,540.3,2023-01-20,1780
536.1,545.55,532.5,537.4,2023-01-23,2200
526.0,547.95,526.0,538.2,2023-01-24,4161
532.3,539.0,532.3,537.1,2023-01-25,2562
539.0,555.8,535.0,544.3,2023-01-27,9056
537.25,544.75,535.0,540.8,2023-01-30,1833
537.65,585.0,525.0,572.1,2023-01-31,66481
570.0,570.0,543.0,544.65,2023-02-01,4068
541.75,551.0,539.25,543.65,2023-02-02,1569
541.5,545.35,535.0,544.25,2023-02-03,2672
538.0,556.45,538.0,553.65,2023-02-06,1148
560.0,560.0,545.0,549.1,2023-02-07,2193
547.85,570.0,546.25,559.4,2023-02-08,8829
559.4,560.0,552.1,558.25,2023-02-09,1612
554.85,562.4,553.75,559.3,2023-02-10,1345
555.05,559.95,538.3,540.4,2023-02-13,3380
542.8,554.5,525.75,534.2,2023-02-14,3074
530.0,533.95,520.0,522.25,2023-02-15,38481
511.3,540.0,511.3,539.2,2023-02-16,2942
531.15,541.0,528.85,538.65,2023-02-17,3214
546.0,546.0,530.65,538.55,2023-02-20,1477
540.0,540.0,532.9,539.25,2023-02-21,1979
532.3,540.0,528.85,532.4,2023-02-22,3415
490.0,540.0,490.0,538.9,2023-02-23,1765
539.95,540.0,534.05,539.0,2023-02-24,1249
539.0,540.0,535.0,539.75,2023-02-27,2381
541.3,546.0,535.25,539.75,2023-02-28,3449
533.55,540.0,533.2,539.7,2023-03-01,1964
536.0,536.05,509.55,516.25,2023-03-02,12005
519.95,529.9,512.1,527.25,2023-03-03,3862
527.95,539.7,523.55,526.5,2023-03-06,5565
529.0,534.75,522.55,530.7,2023-03-08,1627
522.85,544.0,520.45,525.1,2023-03-09,2376
526.05,532.95,515.0,523.65,2023-03-10,648
523.65,535.0,490.0,499.6,2023-03-13,14519
507.05,510.3,462.1,500.5,2023-03-14,106376
504.0,519.95,504.0,511.35,2023-03-15,3836
495.05,522.05,489.05,501.5,2023-03-16,3532
496.3,514.95,496.2,510.75,2023-03-17,4390
510.75,522.0,503.9,516.1,2023-03-20,3015
523.0,523.0,497.0,499.4,2023-03-21,2180
500.3,511.95,497.05,501.05,2023-03-22,2118
504.5,519.85,499.75,504.2,2023-03-23,2726
511.75,511.75,493.55,497.55,2023-03-24,9491
492.0,502.0,482.0,483.2,2023-03-27,3084
480.05,488.6,471.0,478.7,2023-03-28,5448
480.1,484.9,472.65,477.75,2023-03-29,8833
489.75,513.95,480.0,501.75,2023-03-31,2348
495.0,503.0,495.0,499.95,2023-04-03,338
502.25,520.0,495.9,503.55,2023-04-05,5179
504.1,520.0,504.05,518.95,2023-04-06,34205
517.7,535.0,511.25,532.45,2023-04-10,10291
532.65,540.0,528.4,539.95,2023-04-11,15720
534.4,540.0,530.0,534.85,2023-04-12,3590
537.2,541.55,531.65,535.55,2023-04-13,1536
531.8,536.75,524.05,525.75,2023-04-17,999
526.75,544.9,526.75,538.7,2023-04-18,5445
542.8,542.8,532.05,538.7,2023-04-19,1382
538.7,541.1,526.3,529.75,2023-04-20,3412
526.0,537.9,526.0,530.6,2023-04-21,5235
530.55,536.5,530.0,530.15,2023-04-24,2499
535.45,537.0,523.0,530.1,2023-04-25,9186
530.1,536.95,528.0,531.8,2023-04-26,7499
534.0,542.35,532.6,539.9,2023-04-27,12232
541.0,556.0,532.05,545.9,2023-04-28,8222
540.0,557.9,540.0,553.2,2023-05-02,6387
561.45,565.0,552.9,558.8,2023-05-03,4406
