open,high,low,close,date,volume
216.3,218.7,208.25,210.0,2022-09-29,1080159
210.05,212.9,208.0,211.65,2022-09-30,816685
212.4,213.4,208.65,209.85,2022-10-03,459475
213.9,224.8,211.9,221.65,2022-10-04,2320864
224.5,225.8,221.0,224.25,2022-10-06,662898
222.6,229.5,222.5,225.8,2022-10-07,802663
225.4,229.1,223.0,227.15,2022-10-10,801924
229.0,229.0,220.0,220.65,2022-10-11,480857
220.4,224.5,215.3,222.3,2022-10-12,727180
221.45,222.95,215.6,218.3,2022-10-13,474599
221.2,225.7,217.5,218.95,2022-10-14,758248
216.0,217.9,213.5,214.4,2022-10-17,460586
217.5,219.9,214.8,215.5,2022-10-18,496464
216.1,218.0,214.55,215.55,2022-10-19,314336
214.5,224.4,214.5,221.75,2022-10-20,649625
215.1,220.95,213.3,217.55,2022-10-21,1310158
219.0,219.0,212.0,213.7,2022-10-24,303015
214.9,214.9,210.6,212.8,2022-10-25,574764
214.0,216.4,212.0,214.05,2022-10-27,609212
214.0,229.95,214.0,218.8,2022-10-28,2496425
219.9,226.9,219.85,223.4,2022-10-31,985523
223.4,224.5,220.55,221.7,2022-11-01,310351
221.65,221.65,215.25,218.35,2022-11-02,521067
216.15,220.0,214.7,215.9,2022-11-03,470323
216.0,218.8,215.0,217.0,2022-11-04,359445
217.1,218.7,215.1,216.7,2022-11-07,356544
216.95,222.15,215.0,215.6,2022-11-09,519541
214.7,220.65,213.7,214.05,2022-11-10,556158
219.95,221.85,217.1,218.6,2022-11-11,1423003
219.45,223.8,218.15,219.3,2022-11-14,692418
219.95,220.7,217.1,218.4,2022-11-15,270396
218.0,219.85,217.0,217.9,2022-11-16,336849
215.5,217.4,214.7,216.05,2022-11-17,389205
216.9,217.5,213.5,214.65,2022-11-18,432757
213.7,216.5,212.45,213.05,2022-11-21,537471
213.05,213.6,209.5,210.35,2022-11-22,395669
211.25,217.4,210.95,213.8,2022-11-23,401876
214.3,219.7,213.2,217.35,2022-11-24,792449
218.55,219.45,216.0,216.7,2022-11-25,436049
216.7,223.5,216.65,220.6,2022-11-28,658064
220.5,225.0,219.0,222.1,2022-11-29,852334
223.25,224.85,221.2,222.9,2022-11-30,693454
225.45,233.75,225.45,228.4,2022-12-01,3036732
230.0,238.9,227.65,236.75,2022-12-02,2878523
239.3,247.4,237.0,238.25,2022-12-05,4870475
237.0,237.5,231.6,233.7,2022-12-06,715839
234.8,234.8,230.0,231.35,2022-12-07,524481
231.0,237.0,229.2,230.65,2022-12-08,622905
231.2,233.4,226.6,229.65,2022-12-09,1434977
227.8,228.4,224.25,225.5,2022-12-12,677068
226.0,230.0,223.0,223.55,2022-12-13,853360
224.9,228.25,224.25,224.85,2022-12-14,570208
224.4,225.9,220.05,221.0,2022-12-15,401221
220.7,220.7,217.8,219.8,2022-12-16,461325
219.2,219.2,215.0,216.7,2022-12-19,469933
215.75,219.35,213.9,215.0,2022-12-20,679926
216.0,218.7,211.15,212.25,2022-12-21,536548
213.9,215.2,208.1,212.1,2022-12-22,631729
210.7,211.0,201.5,202.9,2022-12-23,1026037
202.9,212.0,202.75,211.25,2022-12-26,1212450
211.45,215.7,210.8,215.1,2022-12-27,300431
213.2,217.0,212.6,216.25,2022-12-28,302883
214.8,215.2,211.75,214.25,2022-12-29,413753
217.55,219.5,212.2,213.0,2022-12-30,800539
213.7,215.2,211.75,214.5,2023-01-02,323167
215.9,219.2,215.05,215.7,2023-01-03,533417
215.6,215.6,211.5,213.3,2023-01-04,405826
213.2,214.45,209.25,210.05,2023-01-05,1329676
210.05,211.2,207.75,208.75,2023-01-06,528468
211.0,212.8,206.9,208.05,2023-01-09,2511878
208.2,209.25,206.0,206.7,2023-01-10,439321
207.4,214.7,205.4,213.6,2023-01-11,1212928
214.0,215.0,209.1,212.4,2023-01-12,795992
213.5,214.0,209.5,211.2,2023-01-13,572396
212.3,216.4,211.65,213.3,2023-01-16,747877
213.3,218.0,212.2,216.8,2023-01-17,775977
217.0,224.0,217.0,218.45,2023-01-18,1031628
217.9,224.2,211.9,222.4,2023-01-19,1008262
223.55,227.45,217.1,218.4,2023-01-20,1412296
219.5,223.0,215.6,221.4,2023-01-23,735331
224.0,239.0,223.1,228.0,2023-01-24,9034469
228.0,234.1,226.1,231.0,2023-01-25,2618036
231.0,233.15,218.3,221.0,2023-01-27,1235164
221.0,225.4,218.3,222.0,2023-01-30,1076976
222.6,232.5,218.55,230.3,2023-01-31,755205
233.0,239.7,231.5,233.95,2023-02-01,2848851
232.05,240.2,231.95,235.7,2023-02-02,845655
236.95,238.55,234.0,235.1,2023-02-03,634449
235.8,236.95,230.6,232.65,2023-02-06,634377
232.65,247.0,232.65,245.3,2023-02-07,3265600
247.4,257.3,244.05,252.25,2023-02-08,3910732
253.15,255.5,248.65,253.3,2023-02-09,1292936
253.4,263.5,251.25,262.4,2023-02-10,2162905
263.0,263.35,248.8,251.2,2023-02-13,1568132
252.5,261.0,246.5,256.85,2023-02-14,1723090
256.75,260.9,252.05,258.3,2023-02-15,1112829
261.15,268.0,257.5,265.3,2023-02-16,2165385
265.0,270.0,261.7,266.9,2023-02-17,3931698
268.2,276.95,261.15,271.2,2023-02-20,2617891
273.0,295.9,270.35,293.45,2023-02-21,8435976
290.0,308.45,284.05,286.1,2023-02-22,10432576
288.8,304.4,280.7,300.6,2023-02-23,7247514
301.65,305.2,285.0,291.6,2023-02-24,3572500
288.65,291.55,277.5,279.5,2023-02-27,2797405
280.7,296.45,279.05,290.3,2023-02-28,4122588
290.8,293.6,285.65,287.7,2023-03-01,1570427
287.0,289.5,275.0,276.55,2023-03-02,1233869
279.8,283.25,267.1,269.35,2023-03-03,1881722
272.0,282.75,272.0,280.65,2023-03-06,1934487
278.1,279.8,274.0,277.7,2023-03-08,857874
278.95,286.35,277.55,282.95,2023-03-09,1415940
278.5,282.75,272.1,274.4,2023-03-10,1345464
273.0,276.25,266.0,268.55,2023-03-13,1383539
268.7,273.5,263.1,267.15,2023-03-14,1130036
270.75,275.9,266.5,267.9,2023-03-15,1142900
267.9,277.0,264.7,268.1,2023-03-16,1130806
271.85,283.1,270.95,277.5,2023-03-17,2583603
277.0,277.0,264.0,270.0,2023-03-20,1099244
272.55,276.9,271.1,273.05,2023-03-21,718491
274.9,278.3,271.6,272.4,2023-03-22,561593
271.5,274.65,264.2,267.15,2023-03-23,774450
267.15,271.9,263.6,265.4,2023-03-24,593872
266.65,266.85,258.8,262.45,2023-03-27,856851
262.9,271.0,261.9,267.45,2023-03-28,1119464
268.75,269.95,264.0,266.65,2023-03-29,786509
268.8,278.0,268.0,274.35,2023-03-31,1143954
275.0,283.1,274.65,276.6,2023-04-03,982447
276.6,279.95,275.0,276.0,2023-04-05,433377
276.4,283.95,276.1,280.4,2023-04-06,923088
281.7,291.0,277.9,286.15,2023-04-10,1450083
286.9,289.9,283.0,288.5,2023-04-11,1000940
287.95,290.0,282.15,284.85,2023-04-12,1164450
283.15,284.4,277.25,280.25,2023-04-13,398962
275.5,275.5,265.1,268.1,2023-04-17,1260046
269.5,270.9,259.3,262.8,2023-04-18,1172631
264.4,266.9,262.55,265.95,2023-04-19,507114
266.9,267.95,261.0,266.55,2023-04-20,646814
266.6,274.4,265.5,269.25,2023-04-21,735607
270.0,274.55,267.15,272.1,2023-04-24,515934
272.2,273.4,267.05,267.95,2023-04-25,254631
269.0,275.5,267.95,273.7,2023-04-26,586597
274.0,277.5,270.15,276.7,2023-04-27,413720
277.0,279.75,276.05,278.25,2023-04-28,429798
279.0,286.6,279.0,283.65,2023-05-02,854071
283.0,291.75,281.1,288.2,2023-05-03,2326457
289.1,303.1,286.2,299.7,2023-05-04,1818853
299.65,309.95,299.0,304.1,2023-05-05,1925975
307.6,311.9,302.0,303.9,2023-05-08,1233647
303.25,309.0,300.25,305.6,2023-05-09,827642
307.75,316.8,302.3,304.3,2023-05-10,1857952
306.9,314.0,306.05,310.25,2023-05-11,1268027
325.0,343.5,315.0,339.5,2023-05-12,14775091
341.8,389.8,340.6,384.15,2023-05-15,19401965
383.0,383.5,349.0,351.65,2023-05-16,9594900
352.9,358.65,343.35,349.0,2023-05-17,2433055
352.0,365.0,346.25,349.25,2023-05-18,2753263
350.95,360.55,346.0,353.85,2023-05-19,1939221
353.85,357.95,348.0,354.65,2023-05-22,1290382
355.05,363.6,350.0,355.45,2023-05-23,1096122
350.5,356.95,349.5,349.95,2023-05-24,758360
350.0,363.4,350.0,359.85,2023-05-25,1812723
361.65,384.65,359.5,376.4,2023-05-26,5079906
378.3,379.7,366.85,370.55,2023-05-29,1027801
369.75,379.3,367.2,370.0,2023-05-30,1254584
368.95,374.75,363.95,369.65,2023-05-31,1128661
370.75,393.5,370.0,388.75,2023-06-01,5491431
390.9,411.75,388.85,403.55,2023-06-02,5115586
405.0,409.4,396.1,403.45,2023-06-05,1960326
404.1,404.2,390.0,392.25,2023-06-06,1244592
395.0,402.45,391.3,394.45,2023-06-07,1164136
395.5,402.2,391.1,395.5,2023-06-08,1764509
395.55,399.75,388.65,398.55,2023-06-09,948032
399.8,402.1,390.55,394.4,2023-06-12,780042
396.0,404.85,393.2,395.75,2023-06-13,1334110
396.15,397.3,383.05,387.15,2023-06-14,833518
387.1,400.0,387.0,393.6,2023-06-15,1083566
394.85,399.6,388.85,395.2,2023-06-16,1318662
395.5,396.4,390.0,391.05,2023-06-19,787118
391.0,394.25,383.7,384.7,2023-06-20,679663
386.95,415.9,386.05,407.0,2023-06-21,2635957
415.0,418.7,398.0,400.9,2023-06-22,1697706
400.7,400.7,382.0,385.0,2023-06-23,889634
385.1,392.0,376.0,382.15,2023-06-26,994730
382.15,385.2,380.25,383.4,2023-06-27,995946
384.8,389.95,380.55,381.75,2023-06-28,744307
383.2,394.2,383.0,386.95,2023-06-30,1110102
388.5,393.0,383.95,385.75,2023-07-03,700222
386.85,399.85,382.15,383.4,2023-07-04,1190196
384.7,388.95,381.1,382.45,2023-07-05,1305222
383.6,395.4,382.7,390.0,2023-07-06,1496873
390.0,397.9,385.8,388.15,2023-07-07,812817
389.8,390.0,382.4,383.7,2023-07-10,681585
384.7,393.95,383.7,387.9,2023-07-11,922809
387.85,398.5,382.5,396.4,2023-07-12,1641015
398.0,425.9,397.25,408.05,2023-07-13,7960994
410.3,429.2,405.4,426.55,2023-07-14,4747720
428.9,445.55,428.6,438.85,2023-07-17,4860669
440.95,453.65,430.05,449.95,2023-07-18,3727504
452.0,461.8,445.1,457.65,2023-07-19,3086295
458.05,475.0,435.1,461.85,2023-07-20,10302439
462.2,493.7,458.0,485.25,2023-07-21,11374756
484.0,491.0,464.0,469.05,2023-07-24,4464069
471.95,494.5,471.2,485.2,2023-07-25,4533670
486.8,490.0,481.0,484.05,2023-07-26,1597206
484.65,497.4,480.0,485.3,2023-07-27,2155504
487.0,497.35,482.1,491.7,2023-07-28,1839317
491.7,504.45,486.5,497.4,2023-07-31,2586117
498.9,504.2,487.1,491.0,2023-08-01,1827719
491.0,492.4,468.25,481.45,2023-08-02,1374331
479.0,488.0,476.1,479.8,2023-08-03,908936
