open,high,low,close,date,volume
336.0,339.5,330.15,336.4,2022-11-25,34653
336.4,336.4,321.1,326.1,2022-11-28,7039
318.0,328.8,318.0,320.95,2022-11-29,2896
321.9,325.0,311.1,315.75,2022-11-30,6266
305.0,320.05,300.0,317.55,2022-12-01,7010
328.75,328.75,316.6,323.4,2022-12-02,4674
327.95,330.35,309.6,320.95,2022-12-05,9391
310.3,327.0,310.3,324.0,2022-12-06,7039
319.6,322.0,316.25,320.8,2022-12-07,2922
317.25,330.0,312.05,320.4,2022-12-08,4315
327.35,327.95,311.0,320.15,2022-12-09,3025
329.9,336.15,325.5,331.5,2022-12-12,25757
334.95,348.05,325.05,346.3,2022-12-13,57448
357.0,362.45,347.5,350.3,2022-12-14,27168
358.9,358.9,334.2,342.15,2022-12-15,17719
346.5,358.0,337.7,355.35,2022-12-16,14446
373.05,373.05,337.6,341.4,2022-12-19,60175
337.6,350.0,325.1,340.4,2022-12-20,26443
340.6,349.0,325.25,331.8,2022-12-21,22924
110.1,116.1,110.1,116.05,2022-12-22,88301
116.05,116.05,110.25,110.25,2022-12-23,18168
110.25,110.25,104.75,105.8,2022-12-26,9952
106.0,108.0,102.0,103.55,2022-12-27,10531
106.9,106.9,102.0,105.5,2022-12-28,8332
105.0,105.0,102.0,102.25,2022-12-29,16630
102.2,103.95,97.15,97.2,2022-12-30,41782
97.2,100.0,97.2,98.85,2023-01-02,15543
98.5,102.15,97.0,98.65,2023-01-03,11090
99.95,99.95,97.0,97.45,2023-01-04,8785
97.45,97.45,94.25,94.8,2023-01-05,11173
95.0,96.0,93.25,94.8,2023-01-06,9125
94.8,95.0,90.1,91.25,2023-01-09,22802
91.2,91.2,88.75,89.85,2023-01-10,9476
89.05,94.3,86.65,92.95,2023-01-11,23381
92.95,96.15,92.65,94.4,2023-01-12,8962
94.3,95.45,90.0,91.85,2023-01-13,10710
91.85,95.55,89.7,91.0,2023-01-16,7050
91.9,91.9,86.5,89.3,2023-01-17,8597
89.3,91.4,85.5,88.0,2023-01-18,14170
87.9,87.9,86.5,86.6,2023-01-19,8177
86.1,88.45,86.1,87.85,2023-01-20,6675
89.25,89.45,88.0,89.1,2023-01-23,5492
88.05,90.25,86.2,87.5,2023-01-24,13624
89.4,89.4,83.25,84.8,2023-01-25,9697
85.45,85.45,81.0,83.2,2023-01-27,7599
82.95,83.0,81.2,81.6,2023-01-30,28695
81.65,84.55,81.55,83.4,2023-01-31,10705
84.45,86.0,83.45,84.45,2023-02-01,12408
85.55,85.55,81.0,81.45,2023-02-02,13410
