open,high,low,close,date,volume
1585.0,1617.0,1585.0,1605.25,2022-09-29,18896
1613.0,1629.75,1604.0,1623.8,2022-09-30,34446
1623.0,1669.35,1620.15,1657.0,2022-10-03,54879
1665.0,1708.95,1650.25,1687.95,2022-10-04,46102
1709.0,1765.0,1706.75,1749.6,2022-10-06,112741
1758.8,1758.8,1711.25,1741.25,2022-10-07,27502
1742.0,1742.0,1698.0,1709.75,2022-10-10,20539
1718.3,1740.0,1690.5,1704.35,2022-10-11,18020
1693.0,1746.6,1693.0,1740.05,2022-10-12,24808
1769.0,1769.0,1725.0,1734.75,2022-10-13,25738
1745.0,1759.0,1719.45,1734.25,2022-10-14,28229
1734.25,1738.0,1695.0,1706.15,2022-10-17,14821
1712.7,1749.9,1712.0,1728.35,2022-10-18,16771
1745.6,1747.0,1731.0,1741.25,2022-10-19,16166
1737.0,1759.0,1730.0,1736.65,2022-10-20,16349
1736.0,1746.0,1701.0,1713.35,2022-10-21,19015
1729.0,1745.0,1714.75,1734.3,2022-10-24,6402
1725.0,1783.0,1715.1,1728.65,2022-10-25,36153
1730.3,1754.0,1721.0,1727.6,2022-10-27,14003
1722.0,1791.0,1722.0,1770.6,2022-10-28,65539
1770.6,1788.8,1752.0,1758.4,2022-10-31,17945
1758.0,1774.0,1730.1,1735.15,2022-11-01,19035
1739.0,1790.0,1731.6,1739.25,2022-11-02,39119
1730.5,1773.0,1730.5,1746.4,2022-11-03,18244
1755.15,1785.0,1748.1,1756.25,2022-11-04,31070
1758.0,1790.0,1726.0,1731.4,2022-11-07,32956
1731.4,1749.9,1709.7,1724.8,2022-11-09,40073
1714.6,1722.5,1625.0,1642.3,2022-11-10,64532
1650.55,1663.0,1610.0,1616.95,2022-11-11,24061
1616.95,1620.85,1580.0,1583.95,2022-11-14,26476
1591.9,1604.7,1577.85,1599.65,2022-11-15,37547
1609.0,1613.9,1584.0,1600.05,2022-11-16,81668
1605.0,1608.5,1585.0,1590.8,2022-11-17,10942
1598.8,1598.8,1550.1,1558.35,2022-11-18,31667
1565.8,1574.85,1548.0,1565.65,2022-11-21,34096
1565.65,1573.5,1560.0,1565.75,2022-11-22,22963
1570.0,1570.0,1535.0,1542.1,2022-11-23,64024
1549.85,1571.8,1543.3,1567.0,2022-11-24,15011
1574.85,1584.0,1552.5,1579.1,2022-11-25,148678
1590.0,1593.8,1575.0,1579.45,2022-11-28,13156
1589.0,1589.0,1566.05,1575.3,2022-11-29,54021
1590.0,1619.0,1581.55,1613.05,2022-11-30,44200
1627.0,1629.0,1581.15,1599.85,2022-12-01,30684
1599.9,1620.75,1594.25,1613.35,2022-12-02,18608
1613.95,1621.25,1605.0,1617.6,2022-12-05,10117
1619.0,1638.75,1611.0,1614.8,2022-12-06,14169
1614.8,1622.9,1587.0,1593.45,2022-12-07,8029
1601.45,1618.95,1598.0,1607.8,2022-12-08,10757
1601.0,1615.0,1582.05,1590.9,2022-12-09,14040
1599.3,1617.0,1586.4,1611.1,2022-12-12,21729
1618.0,1619.2,1595.0,1606.35,2022-12-13,7379
1612.0,1619.5,1590.6,1600.45,2022-12-14,8429
1600.0,1625.0,1590.0,1619.9,2022-12-15,19669
1611.0,1615.85,1590.0,1591.75,2022-12-16,7562
1592.0,1599.75,1581.0,1587.35,2022-12-19,5792
1581.9,1599.5,1581.9,1588.85,2022-12-20,3940
1605.15,1605.15,1530.0,1571.95,2022-12-21,39365
1560.0,1579.4,1530.0,1542.5,2022-12-22,11744
1542.5,1549.35,1487.05,1493.55,2022-12-23,16065
1501.0,1530.0,1495.0,1527.85,2022-12-26,6543
1522.05,1539.4,1500.6,1513.25,2022-12-27,28227
1513.25,1518.0,1505.0,1509.4,2022-12-28,9341
1509.4,1513.95,1489.0,1493.15,2022-12-29,15444
1506.0,1525.0,1492.0,1506.8,2022-12-30,11039
1510.0,1538.9,1509.95,1530.1,2023-01-02,5485
1537.8,1538.2,1510.0,1514.2,2023-01-03,52224
1521.0,1538.95,1500.0,1506.2,2023-01-04,8845
1513.75,1538.0,1500.25,1503.7,2023-01-05,16549
1509.95,1524.95,1475.65,1489.6,2023-01-06,18192
1500.3,1526.4,1500.3,1505.55,2023-01-09,34369
1513.1,1515.65,1491.65,1497.95,2023-01-10,6387
1500.25,1519.9,1494.0,1504.2,2023-01-11,18519
1507.7,1514.6,1485.75,1494.75,2023-01-12,7489
1495.2,1500.0,1474.45,1477.45,2023-01-13,8897
1479.95,1502.9,1477.45,1496.5,2023-01-16,11995
1503.95,1503.95,1477.0,1479.6,2023-01-17,6182
1487.0,1498.5,1470.05,1474.0,2023-01-18,11686
1480.0,1481.4,1460.0,1461.85,2023-01-19,8108
1469.2,1470.7,1435.0,1446.1,2023-01-20,14370
1452.05,1458.95,1442.95,1454.75,2023-01-23,14326
1454.0,1481.9,1439.2,1442.45,2023-01-24,36395
1436.1,1455.95,1429.0,1448.0,2023-01-25,9580
1455.2,1455.2,1432.95,1443.85,2023-01-27,8433
1453.55,1461.1,1411.1,1426.5,2023-01-30,25848
1448.9,1448.9,1395.5,1398.55,2023-01-31,76856
1405.55,1448.9,1402.85,1424.75,2023-02-01,103342
1423.0,1447.55,1370.1,1409.7,2023-02-02,64461
1405.0,1415.95,1391.0,1397.05,2023-02-03,12188
1397.05,1481.95,1391.25,1465.15,2023-02-06,28786
1469.0,1478.85,1440.0,1445.45,2023-02-07,12004
1440.0,1452.0,1415.6,1431.0,2023-02-08,16647
1438.2,1438.2,1407.25,1410.9,2023-02-09,11691
1410.0,1430.0,1407.0,1415.3,2023-02-10,10696
1415.0,1424.3,1399.3,1402.1,2023-02-13,33757
1409.15,1433.3,1394.05,1425.0,2023-02-14,12919
1427.95,1480.0,1411.55,1473.45,2023-02-15,20058
1467.0,1474.0,1430.15,1437.6,2023-02-16,8726
1444.8,1463.95,1436.25,1451.35,2023-02-17,7297
1459.0,1459.75,1440.95,1445.45,2023-02-20,15578
1453.05,1479.0,1441.15,1462.3,2023-02-21,16177
1462.3,1462.3,1437.8,1447.55,2023-02-22,34379
1454.8,1459.85,1438.05,1446.85,2023-02-23,16228
1454.1,1454.1,1405.05,1411.7,2023-02-24,12449
1415.0,1418.55,1391.5,1402.3,2023-02-27,10080
1403.35,1438.35,1399.05,1428.7,2023-02-28,13911
1429.7,1467.5,1429.7,1450.8,2023-03-01,14916
1458.1,1462.0,1440.85,1454.4,2023-03-02,5283
1464.15,1464.2,1444.55,1447.7,2023-03-03,7374
1457.5,1531.9,1449.8,1481.65,2023-03-06,20919
1474.0,1503.85,1472.65,1488.4,2023-03-08,15168
1496.2,1524.0,1473.65,1479.8,2023-03-09,24176
1479.8,1565.9,1470.0,1514.8,2023-03-10,91391
1526.95,1527.8,1489.65,1501.85,2023-03-13,30855
1512.0,1537.45,1493.1,1494.1,2023-03-14,23206
1501.6,1514.55,1489.15,1491.3,2023-03-15,15562
1498.75,1498.75,1469.85,1470.7,2023-03-16,25554
1481.25,1481.25,1466.85,1472.5,2023-03-17,72172
1494.95,1522.5,1469.65,1475.65,2023-03-20,19567
1476.0,1479.95,1459.65,1461.2,2023-03-21,116993
1460.05,1479.75,1460.05,1472.8,2023-03-22,13064
1461.7,1480.75,1461.7,1471.05,2023-03-23,8362
1474.95,1548.0,1466.35,1524.55,2023-03-24,581597
1522.85,1522.85,1474.0,1479.25,2023-03-27,46404
1489.0,1509.0,1480.05,1506.25,2023-03-28,22507
1516.45,1540.15,1506.15,1535.45,2023-03-29,19745
1537.0,1579.0,1530.85,1550.3,2023-03-31,42490
1560.35,1563.8,1534.6,1554.5,2023-04-03,10331
1564.7,1564.7,1532.1,1540.65,2023-04-05,6530
1540.5,1564.95,1530.0,1543.85,2023-04-06,6175
1536.0,1547.7,1505.5,1509.35,2023-04-10,16035
